번호,종목코드,종목명,구분,종가,대비,공시일,지정일
347,52F260,미래F260KOSPI200콜,소수지점/계좌,"130",-10,"2020/04/07","2020/04/08"
348,52EJ08,미래EJ08삼성전자콜,소수지점/계좌,"25",0,"2020/04/07","2020/04/08"
349,52EB07,미래EB07삼성전자콜,소수지점/계좌,"-",-,"2020/04/07","2020/04/08"
350,147760,마이크로프랜드,소수지점/계좌,"3,415",-55,"2020/04/07","2020/04/08"
351,294140,레몬,투자경고 지정예고,"15,550","-1,700","2020/04/07","2020/04/08"
352,134580,디엠티,소수지점/계좌,"1,865",-10,"2020/04/07","2020/04/08"
353,003160,디아이,소수지점/계좌,"2,960",-50,"2020/04/07","2020/04/08"
354,005880,대한해운,소수지점/계좌,"18,100","1,350","2020/04/07","2020/04/08"
355,131220,대한과학,단일계좌거래량,"5,620",-610,"2020/04/07","2020/04/08"
356,069140,누리플랜,소수지점/계좌,"4,100",-100,"2020/04/07","2020/04/08"
357,142280,녹십자엠에스,투자경고 지정예고,"8,610",800,"2020/04/07","2020/04/08"
358,144510,녹십자랩셀,소수계좌 매수관여 과다,"50,700",-700,"2020/04/07","2020/04/08"
359,253590,네오셈,소수지점/계좌,"1,335",-65,"2020/04/07","2020/04/08"
360,219550,MP한강,소수지점/계좌,"798",-5,"2020/04/07","2020/04/08"
361,58EA28,KBEA28삼성전자풋,소수지점/계좌,"10",-5,"2020/04/07","2020/04/08"
362,024060,흥구석유,투자경고 지정예고,"8,150",-740,"2020/04/06","2020/04/07"
363,226440,한송네오텍,종가급변,"1,100",-40,"2020/04/06","2020/04/07"
364,053590,한국테크놀로지,투자경고 지정예고,"1,730",60,"2020/04/06","2020/04/07"
365,053590,한국테크놀로지,소수계좌 매수관여 과다,"1,730",60,"2020/04/06","2020/04/07"
366,57EM14,한국EM14KOSPI200콜,소수지점/계좌,"170",-10,"2020/04/06","2020/04/07"
367,57EM13,한국EM13KOSPI200콜,소수지점/계좌,"130",-20,"2020/04/06","2020/04/07"
368,57EM12,한국EM12KOSPI200콜,소수지점/계좌,"100",-15,"2020/04/06","2020/04/07"
369,57EG56,한국EG56삼성전자콜,소수지점/계좌,"-",-,"2020/04/06","2020/04/07"
370,000140,하이트진로홀딩스,소수지점/계좌,"12,300",50,"2020/04/06","2020/04/07"
371,010770,평화홀딩스,소수지점/계좌,"2,875",-70,"2020/04/06","2020/04/07"
372,225590,패션플랫폼,소수지점/계좌,"951",-4,"2020/04/06","2020/04/07"
373,114120,크루셜텍,투자경고 지정예고,"567",-14,"2020/04/06","2020/04/07"
374,900310,컬러레이,종가급변,"1,530",-5,"2020/04/06","2020/04/07"
375,052670,제일바이오,단일계좌거래량,"8,340",20,"2020/04/06","2020/04/07"
376,950140,잉글우드랩,소수지점/계좌,"4,060",65,"2020/04/06","2020/04/07"
377,016250,이테크건설,소수계좌 매수관여 과다,"78,800","-5,000","2020/04/06","2020/04/07"
378,263770,유에스티,소수지점/계좌,"2,845",-40,"2020/04/06","2020/04/07"
379,086460,에스엔피제네틱스,투자경고 지정예고,"3,500",425,"2020/04/06","2020/04/07"
380,226350,아이엠텍,단일계좌거래량,"214",00,"2020/04/06","2020/04/07"
381,019175,신풍제약우,소수계좌 매수관여 과다,"42,450",500,"2020/04/06","2020/04/07"
382,115570,스타플렉스,소수지점/계좌,"7,910",-240,"2020/04/06","2020/04/07"
383,051980,센트럴바이오,소수계좌 매수관여 과다,"914",-6,"2020/04/06","2020/04/07"
384,075580,세진중공업,소수지점/계좌,"2,995",30,"2020/04/06","2020/04/07"
385,52F260,미래F260KOSPI200콜,소수지점/계좌,"130",-10,"2020/04/06","2020/04/07"
386,52EJ52,미래EJ52삼성SDI콜,소수지점/계좌,"35",-5,"2020/04/06","2020/04/07"
387,52EJ08,미래EJ08삼성전자콜,소수지점/계좌,"25",0,"2020/04/06","2020/04/07"
388,52EE72,미래EE72삼성전자풋,소수지점/계좌,"-",-,"2020/04/06","2020/04/07"
389,200580,메디쎄이,투자경고 지정예고,"5,490",-30,"2020/04/06","2020/04/07"
390,147760,마이크로프랜드,소수지점/계좌,"3,415",-55,"2020/04/06","2020/04/07"
391,134580,디엠티,소수지점/계좌,"1,865",-10,"2020/04/06","2020/04/07"
392,004440,대림씨엔에스,소수지점/계좌,"5,700",0,"2020/04/06","2020/04/07"
393,008350,남선알미늄,투자경고 지정예고,"5,270",-460,"2020/04/06","2020/04/07"
394,019660,글로본,소수지점/계좌,"2,200",-40,"2020/04/06","2020/04/07"
395,070590,한솔인티큐브,소수지점/계좌,"7,000",200,"2020/04/03","2020/04/06"
396,57F501,한국F501삼성전자콜,소수지점/계좌,"25",-5,"2020/04/03","2020/04/06"
397,57EM09,한국EM09KOSPI200풋,소수지점/계좌,"-",-,"2020/04/03","2020/04/06"
398,099350,하나니켈2호,단일계좌거래량,"1,375",10,"2020/04/03","2020/04/06"
399,007980,태평양물산,소수지점/계좌,"1,825",-145,"2020/04/03","2020/04/06"
400,263860,지니언스,소수지점/계좌,"4,175",120,"2020/04/03","2020/04/06"
401,016250,이테크건설,소수계좌 매수관여 과다,"78,800","-5,000","2020/04/03","2020/04/06"
402,263770,유에스티,소수지점/계좌,"2,845",-40,"2020/04/03","2020/04/06"
403,138250,엔에스쇼핑,소수지점/계좌,"7,000",-130,"2020/04/03","2020/04/06"
404,092190,서울바이오시스,투자경고 지정예고,"11,250",-800,"2020/04/03","2020/04/06"
405,206640,바디텍메드,소수계좌 매수관여 과다,"19,550",-750,"2020/04/03","2020/04/06"
406,52EJ55,미래EJ55삼성SDI풋,소수지점/계좌,"-",-,"2020/04/03","2020/04/06"
407,52EF54,미래EF54삼성물산콜,소수지점/계좌,"20",10,"2020/04/03","2020/04/06"
408,001520,동양,종가급변,"1,205",-25,"2020/04/03","2020/04/06"
409,001520,동양,투자경고 지정예고,"1,205",-25,"2020/04/03","2020/04/06"
410,004440,대림씨엔에스,소수지점/계좌,"5,700",0,"2020/04/03","2020/04/06"
411,008110,대동전자,소수지점/계좌,"3,655",-50,"2020/04/03","2020/04/06"
412,065170,넥스트BT,투자경고 지정예고,"1,720",-110,"2020/04/03","2020/04/06"
413,308100,까스텔바작,투자경고 지정예고,"10,050",-850,"2020/04/03","2020/04/06"
414,58EB95,KBEB95SK하이닉풋,소수지점/계좌,"10",-5,"2020/04/03","2020/04/06"
415,58EA24,KBEA24LG화학풋,소수지점/계좌,"10",0,"2020/04/03","2020/04/06"
416,002300,한국제지,소수지점/계좌,"13,450",0,"2020/04/02","2020/04/03"
417,57EM09,한국EM09KOSPI200풋,소수지점/계좌,"-",-,"2020/04/02","2020/04/03"
418,57EM00,한국EM00KOSPI200콜,소수지점/계좌,"-",-,"2020/04/02","2020/04/03"
419,57EG56,한국EG56삼성전자콜,소수지점/계좌,"-",-,"2020/04/02","2020/04/03"
420,066360,체리부로,소수지점/계좌,"2,100",-85,"2020/04/02","2020/04/03"
421,263860,지니언스,소수지점/계좌,"4,175",120,"2020/04/02","2020/04/03"
422,001550,조비,투자경고 지정예고,"15,200",-700,"2020/04/02","2020/04/03"
423,225220,제놀루션,소수지점/계좌,"15,000",500,"2020/04/02","2020/04/03"
424,175140,인포마크,소수지점/계좌,"5,750",10,"2020/04/02","2020/04/03"
425,129260,인터지스,소수지점/계좌,"1,630",30,"2020/04/02","2020/04/03"
426,016250,이테크건설,소수계좌 매수관여 과다,"78,800","-5,000","2020/04/02","2020/04/03"
427,226360,이엑스티,투자경고 지정예고,"2,485",-20,"2020/04/02","2020/04/03"
428,038620,위즈코프,소수지점/계좌,"900",-10,"2020/04/02","2020/04/03"
429,138250,엔에스쇼핑,소수지점/계좌,"7,000",-130,"2020/04/02","2020/04/03"
430,073540,에프알텍,투자경고 지정예고,"4,100",-100,"2020/04/02","2020/04/03"
431,234300,에스트래픽,소수지점/계좌,"5,220",-10,"2020/04/02","2020/04/03"
432,103230,에스앤더블류,소수지점/계좌,"2,160",-120,"2020/04/02","2020/04/03"
433,226350,아이엠텍,투자경고 지정예고,"214",00,"2020/04/02","2020/04/03"
434,148780,비플라이소프트,소수지점/계좌,"1,430",-60,"2020/04/02","2020/04/03"
435,007680,대원,소수지점/계좌,"9,800",700,"2020/04/02","2020/04/03"
436,004440,대림씨엔에스,소수지점/계좌,"5,700",0,"2020/04/02","2020/04/03"
437,005750,대림B&Co,소수지점/계좌,"3,430",-5,"2020/04/02","2020/04/03"
438,008110,대동전자,소수지점/계좌,"3,655",-50,"2020/04/02","2020/04/03"
439,151860,KG ETS,투자경고 지정예고,"4,045",70,"2020/04/02","2020/04/03"
440,58EA29,KBEA29셀트헬스콜,소수지점/계좌,"250",-5,"2020/04/02","2020/04/03"
