종목코드,종목명,현재가,등락구분코드,등락폭,등락률,거래량,거래대금,지정일자
064520,바른전자,"1,210",0,0,"0.00","0","0","2019/01/29"
106080,하이소닉,"3,330",0,0,"0.00","0","0","2019/01/29"
102210,해덕파워웨이,"1,100",0,0,"0.00","0","0","2019/01/09"
084180,수성,"1,300",3,0,"0.00","143,459","183,993,670","2018/11/08"
111820,지와이커머스,"2,465",0,0,"0.00","0","0","2018/10/22"
079190,EMW,"2,780",0,0,"0.00","0","0","2018/10/17"
134780,화진,"3,060",0,0,"0.00","0","0","2018/09/28"
054340,피앤텔,"6,680",0,0,"0.00","0","0","2018/08/16"
065150,MP그룹,"1,315",0,0,"0.00","0","0","2018/08/16"
066790,씨씨에스,"423",0,0,"0.00","0","0","2018/07/30"
149940,모다,"155",0,0,"0.00","0","0","2018/04/03"
192410,감마누,"408",0,0,"0.00","0","0","2018/03/23"
008800,행남사,"1,770",0,0,"0.00","0","0","2018/03/23"
194510,파티게임즈,"536",0,0,"0.00","0","0","2018/03/22"
030270,에스마크,"998",0,0,"0.00","0","0","2018/01/17"
078940,코드네이처,"2,980",0,0,"0.00","0","0","2017/09/25"
019590,엠벤처투자,"1,160",0,0,"0.00","0","0","2017/03/23"
050320,에이앤티앤,"1,385",0,0,"0.00","0","0","2017/03/23"
101680,한국정밀기계,"2,515",0,0,"0.00","0","0","2017/03/16"
115530,씨엔플러스,"839",0,0,"0.00","0","0","2017/03/16"
