번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
6,019170,신풍제약,"23,750","3,300","2020/04/08","2020/04/09",-
5,109820,진매트릭스,"6,450",-710,"2020/03/30","2020/03/31",-
4,212310,휴벡셀,"4,780",60,"2020/03/30","2020/03/31",-
3,058110,멕아이씨에스,"24,350",450,"2020/03/30","2020/03/31",-
2,253840,수젠텍,"23,800","-1,100","2020/03/27","2020/03/30",-
1,084650,랩지노믹스,"18,800","-1,900","2020/03/26","2020/03/27",-
