순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"2,060,000","-39,000","-1.9","210,006","435,298,443,314","2,091,000","2,101,000","2,060,000","289,799,434,220,000","18.04","140,679,337","70,805,124","50.33",2252
2,000660,SK하이닉스,"50,500","-400","-0.8","2,682,196","135,004,692,700","50,800","50,800","49,900","36,764,119,432,500","2.29","728,002,365","369,111,337","50.70",
3,005380,현대차,"157,500","-1,000","-0.6","518,427","81,827,588,750","159,500","160,500","156,000","34,693,545,442,500","2.16","220,276,479","101,882,145","46.25",
4,005935,삼성전자우,"1,603,000","-21,000","-1.3","28,920","46,751,007,662","1,633,000","1,633,000","1,602,000","32,883,023,481,000","2.05","20,513,427","15,690,230","76.49",
5,015760,한국전력,"46,450","-150","-0.3","1,399,735","65,331,670,800","46,650","47,100","46,100","29,819,231,376,650","1.86","641,964,077","205,128,499","31.95",
6,035420,NAVER,"855,000","-6,000","-0.7","50,026","42,957,075,000","861,000","870,000","854,000","28,183,090,545,000","1.75","32,962,679","20,235,493","61.39",
7,005490,POSCO,"291,000","7,000","2.5","548,202","159,547,556,500","291,500","294,000","287,000","25,371,368,985,000","1.58","87,186,835","47,714,183","54.73",
8,028260,삼성물산,"127,500","-500","-0.4","330,624","41,957,522,000","127,500","128,000","126,000","24,185,480,482,500","1.51","189,690,043","17,854,350","9.41",
9,012330,현대모비스,"240,500","5,500","2.3","267,786","63,991,742,900","237,000","240,500","236,500","23,411,199,051,500","1.46","97,343,863","46,901,834","48.18",
10,055550,신한지주,"46,600","-350","-0.8","974,497","45,571,111,250","47,350","47,350","46,550","22,097,700,754,200","1.38","474,199,587","324,420,292","68.41",
11,032830,삼성생명,"108,500","1,000","0.9","121,166","13,109,333,500","107,000","109,000","107,000","21,700,000,000,000","1.35","200,000,000","31,319,349","15.66",
12,051910,LG화학,"294,000","-3,000","-1.0","250,456","74,187,752,000","298,000","300,000","294,000","20,754,148,842,000","1.29","70,592,343","26,452,309","37.47",
13,105560,KB금융,"49,000","-350","-0.7","1,269,288","62,301,220,700","49,400","49,800","48,700","20,487,465,313,000","1.28","418,111,537","272,429,951","65.16",
14,017670,SK텔레콤,"252,000","-3,500","-1.4","107,774","27,273,676,000","253,500","254,500","252,000","20,347,919,172,000","1.27","80,745,711","33,850,670","41.92",
15,034730,SK,"243,500","3,500","1.5","146,277","35,420,453,000","240,000","244,500","239,000","17,132,732,319,500","1.07","70,360,297","17,325,226","24.62",
16,090430,아모레퍼시픽,"280,500","-2,500","-0.9","294,395","82,615,408,248","282,000","283,000","277,500","16,397,606,445,000","1.02","58,458,490","22,267,253","38.09",
17,096770,SK이노베이션,"166,500","2,000","1.2","287,394","48,101,064,000","167,000","169,000","166,000","15,395,516,406,000","0.96","92,465,564","38,617,793","41.76",
18,000270,기아차,"37,050","450","1.2","919,999","33,950,295,650","36,700","37,050","36,500","15,018,712,006,350","0.94","405,363,347","153,601,595","37.89",
19,033780,KT&G,"97,500","500","0.5","559,866","54,657,947,950","97,500","98,000","97,000","13,386,018,457,500","0.83","137,292,497","72,952,650","53.14",
20,011170,롯데케미칼,"370,500","6,500","1.8","135,668","50,310,241,500","365,000","373,500","364,500","12,699,042,739,500","0.79","34,275,419","10,875,745","31.73",
21,000810,삼성화재,"268,000","1,500","0.6","53,584","14,355,052,000","266,000","269,500","266,000","12,696,456,316,000","0.79","47,374,837","22,041,354","46.53",
22,051900,LG생활건강,"811,000","-12,000","-1.5","32,464","26,482,034,000","817,000","835,000","811,000","12,666,357,767,000","0.79","15,618,197","7,223,397","46.25",
23,009540,현대중공업,"165,000","0","0.0","0","0","0","0","0","12,540,000,000,000","0.78","76,000,000","11,332,557","14.91",
24,003550,LG,"70,200","900","1.3","372,512","25,967,365,900","69,300","70,200","69,000","12,113,510,596,200","0.75","172,557,131","49,559,759","28.72",
25,207940,삼성바이오로직스,"173,000","-4,000","-2.3","387,922","67,275,618,000","174,500","175,500","171,000","11,446,545,000,000","0.71","66,165,000","8,007,060","12.10",
26,010950,S-Oil,"100,500","1,600","1.6","361,208","36,336,280,100","99,500","101,000","99,400","11,314,570,596,000","0.70","112,582,792","88,197,137","78.34",
27,066570,LG전자,"67,900","-200","-0.3","1,201,094","81,505,220,200","68,300","68,700","66,900","11,111,686,570,600","0.69","163,647,814","47,375,039","28.95",
28,086790,하나금융지주,"36,950","-550","-1.5","1,143,277","42,225,581,050","37,400","37,650","36,700","10,937,313,140,900","0.68","296,003,062","214,253,242","72.38",
29,034220,LG디스플레이,"30,250","150","0.5","1,191,669","35,959,342,200","30,300","30,350","30,000","10,823,924,925,000","0.67","357,815,700","120,447,558","33.66",
30,068270,셀트리온,"90,100","-200","-0.2","259,731","23,446,027,500","90,000","91,000","90,000","10,505,509,262,700","0.65","116,598,327","28,367,995","24.33",
31,018260,삼성에스디에스,"133,500","-500","-0.4","64,692","8,633,867,500","133,500","134,500","132,500","10,329,936,300,000","0.64","77,377,800","6,688,227","8.64",
32,002790,아모레G,"119,500","-1,500","-1.2","74,896","8,984,514,500","121,000","122,500","119,000","9,853,752,510,000","0.61","82,458,180","15,705,197","19.05",
33,006400,삼성SDI,"138,000","1,500","1.1","192,891","26,506,586,500","138,000","138,500","136,000","9,489,505,140,000","0.59","68,764,530","26,112,501","37.97",
34,000030,우리은행,"13,000","-50","-0.4","809,492","10,525,086,250","13,150","13,150","12,950","8,788,000,000,000","0.55","676,000,000","170,792,775","25.27",
35,030200,KT,"31,900","-150","-0.5","354,394","11,405,716,730","32,100","32,100","31,750","8,329,466,675,200","0.52","261,111,808","127,944,785","49.00",
36,035250,강원랜드,"38,200","50","0.1","413,646","15,736,750,050","38,000","38,350","37,500","8,172,527,100,000","0.51","213,940,500","64,527,106","30.16",
37,010130,고려아연,"432,000","-2,500","-0.6","70,100","30,336,987,500","438,500","438,500","429,000","8,151,840,000,000","0.51","18,870,000","3,454,639","18.31",
38,004020,현대제철,"58,500","600","1.0","425,906","24,918,441,100","58,500","58,900","58,100","7,806,578,422,500","0.49","133,445,785","33,846,329","25.36",
39,021240,코웨이,"96,200","3,300","3.6","229,131","21,970,844,600","93,400","97,400","93,000","7,347,805,350,600","0.46","76,380,513","41,126,699","53.84",
40,023530,롯데쇼핑,"217,500","500","0.2","72,141","15,565,900,000","216,500","218,500","213,500","6,849,269,010,000","0.43","31,490,892","5,902,983","18.75",
41,024110,기업은행,"12,200","-50","-0.4","813,558","9,911,838,450","12,250","12,250","12,150","6,831,741,543,000","0.43","559,978,815","100,265,160","17.91",
42,161390,한국타이어,"54,500","0","0.0","187,257","10,229,061,400","54,100","54,900","54,100","6,751,191,260,500","0.42","123,875,069","52,385,862","42.29",
43,036570,엔씨소프트,"305,000","3,000","1.0","195,125","60,018,370,500","304,500","312,500","302,500","6,688,351,710,000","0.42","21,929,022","9,256,644","42.21",
44,032640,LG유플러스,"14,300","-500","-3.4","2,355,019","33,920,366,450","14,800","14,850","14,300","6,243,542,462,300","0.39","436,611,361","191,693,388","43.90",
45,006800,미래에셋대우,"9,040","0","0.0","2,019,107","18,279,159,970","9,080","9,160","9,010","6,023,500,328,320","0.38","666,316,408","83,483,207","12.53",
46,139480,이마트,"205,500","-2,500","-1.2","144,170","29,711,788,500","208,000","210,000","205,000","5,728,480,804,500","0.36","27,875,819","13,983,429","50.16",
47,035720,카카오,"83,100","300","0.4","179,689","14,955,751,500","83,500","83,700","82,700","5,623,782,029,400","0.35","67,674,874","15,168,401","22.41",
48,047810,한국항공우주,"57,600","1,000","1.8","381,473","21,902,296,700","57,200","57,800","56,700","5,614,566,163,200","0.35","97,475,107","23,865,491","24.48",
49,086280,현대글로비스,"147,000","-500","-0.3","117,591","17,231,205,500","147,000","147,500","146,000","5,512,500,000,000","0.34","37,500,000","12,212,956","32.57",
50,000720,현대건설,"49,500","-150","-0.3","320,555","15,876,070,250","49,800","50,300","49,300","5,512,110,367,500","0.34","111,355,765","34,103,595","30.63",
51,078930,GS,"59,100","1,300","2.2","277,821","16,284,501,100","58,100","59,100","57,400","5,491,298,839,800","0.34","92,915,378","17,358,554","18.68",
52,088350,한화생명,"6,040","60","1.0","552,892","3,322,003,330","5,950","6,040","5,950","5,245,921,200,000","0.33","868,530,000","125,906,130","14.50",
53,027410,BGF리테일,"105,000","1,500","1.4","54,539","5,683,309,000","103,000","105,000","103,000","5,202,500,625,000","0.32","49,547,625","15,993,709","32.28",
54,009150,삼성전기,"69,500","300","0.4","438,173","30,482,154,000","69,200","70,300","68,800","5,191,211,872,000","0.32","74,693,696","13,622,149","18.24",
55,009240,한샘,"220,000","-3,500","-1.6","32,172","7,129,651,500","221,000","226,000","220,000","5,177,464,160,000","0.32","23,533,928","6,759,818","28.72",
56,001040,CJ,"174,000","-1,500","-0.8","76,221","13,299,455,050","174,000","176,000","174,000","5,076,797,652,000","0.32","29,176,998","5,813,239","19.92",
57,018880,한온시스템,"9,280","90","1.0","499,839","4,627,183,720","9,190","9,300","9,170","4,953,664,000,000","0.31","533,800,000","105,275,157","19.72",
58,004800,효성,"135,500","0","0.0","160,007","21,806,408,000","136,000","137,500","134,500","4,758,415,152,500","0.30","35,117,455","9,261,884","26.37",
59,097950,CJ제일제당,"353,000","-5,000","-1.4","41,618","14,681,013,000","356,000","358,000","351,500","4,647,244,294,000","0.29","13,164,998","3,198,012","24.29",
60,029780,삼성카드,"39,200","350","0.9","60,674","2,376,180,800","38,850","39,250","38,800","4,541,668,527,200","0.28","115,858,891","13,476,673","11.63",
61,005830,동부화재,"64,000","1,000","1.6","306,764","19,638,077,500","63,300","64,300","63,200","4,531,200,000,000","0.28","70,800,000","35,496,080","50.14",
62,010140,삼성중공업,"11,200","250","2.3","2,811,969","31,088,229,100","10,900","11,200","10,900","4,368,000,000,000","0.27","390,000,000","75,612,472","19.39",
63,009830,한화케미칼,"26,400","150","0.6","962,054","25,447,184,800","26,450","26,800","26,250","4,350,967,077,600","0.27","164,809,359","41,920,811","25.44",
64,036460,한국가스공사,"44,950","-300","-0.7","219,169","9,878,111,150","45,200","45,500","44,500","4,149,469,350,000","0.26","92,313,000","11,975,242","12.97",
65,007070,GS리테일,"52,700","100","0.2","110,971","5,840,864,000","52,700","53,000","52,200","4,057,900,000,000","0.25","77,000,000","13,068,809","16.97",
66,001800,오리온,"670,000","0","0.0","15,011","10,006,531,000","667,000","672,000","663,000","4,025,651,450,000","0.25","6,008,435","2,544,980","42.36",
67,005387,현대차2우B,"103,500","0","0.0","52,457","5,414,056,500","104,000","105,000","102,000","3,893,035,027,500","0.24","37,613,865","28,986,283","77.06",
68,000120,CJ대한통운,"166,500","-1,500","-0.9","23,697","3,942,667,000","167,500","167,500","165,500","3,798,255,276,000","0.24","22,812,344","3,472,085","15.22",
69,002380,KCC,"354,000","0","0.0","21,257","7,496,949,500","354,500","355,000","351,000","3,737,005,602,000","0.23","10,556,513","1,715,282","16.25",
70,241560,두산밥캣,"36,700","-400","-1.1","136,500","5,012,198,900","36,950","37,100","36,500","3,679,144,392,200","0.23","100,249,166","21,871,911","21.82",
71,008930,한미사이언스,"58,400","800","1.4","100,154","5,841,713,900","57,600","59,000","57,500","3,637,144,641,600","0.23","62,279,874","1,704,812","2.74",
72,005940,NH투자증권,"12,550","200","1.6","914,271","11,441,627,350","12,450","12,600","12,400","3,531,681,531,850","0.22","281,408,887","35,781,943","12.72",
73,012750,에스원,"89,700","700","0.8","44,685","3,999,248,800","88,900","90,400","88,400","3,408,526,266,600","0.21","37,999,178","18,671,113","49.14",
74,128940,한미약품,"299,000","4,000","1.4","40,287","12,004,813,500","295,000","301,500","293,500","3,337,872,148,000","0.21","11,163,452","1,087,685","9.74",
75,130960,CJ E&M,"85,000","600","0.7","187,598","15,881,499,200","84,400","85,200","83,600","3,292,227,565,000","0.20","38,732,089","9,293,228","23.99",
76,011070,LG이노텍,"136,500","-2,500","-1.8","110,435","15,199,463,500","139,500","141,500","136,500","3,230,560,105,500","0.20","23,667,107","6,325,955","26.73",
77,001450,현대해상,"35,000","900","2.6","409,974","14,246,583,050","34,150","35,050","33,850","3,129,000,000,000","0.19","89,400,000","45,506,581","50.90",
78,012630,현대산업,"40,650","150","0.4","203,490","8,298,585,731","40,600","41,100","40,600","3,064,366,917,000","0.19","75,384,180","37,908,230","50.29",
79,047040,대우건설,"7,250","40","0.6","781,679","5,638,929,220","7,210","7,340","7,130","3,013,264,125,500","0.19","415,622,638","34,210,592","8.23",
80,016360,삼성증권,"33,650","-100","-0.3","224,592","7,578,358,400","33,800","33,950","33,650","3,004,945,000,000","0.19","89,300,000","17,584,574","19.69",
81,003490,대한항공,"31,550","750","2.4","625,966","19,684,013,100","30,900","31,700","30,750","2,992,348,202,700","0.19","94,844,634","15,018,075","15.83",
82,138930,BNK금융지주,"9,180","-20","-0.2","648,681","5,961,848,562","9,210","9,270","9,170","2,992,085,558,280","0.19","325,935,246","157,005,362","48.17",
83,026960,동서,"29,700","800","2.8","162,343","4,774,018,900","29,100","29,800","28,850","2,961,090,000,000","0.18","99,700,000","11,556,775","11.59",
84,047050,포스코대우,"23,850","1,150","5.1","665,447","15,871,028,200","23,200","24,300","23,000","2,942,497,303,650","0.18","123,375,149","19,963,732","16.18",
85,028670,팬오션,"5,500","-40","-0.7","1,995,339","10,955,170,570","5,550","5,560","5,430","2,939,182,240,500","0.18","534,396,771","19,149,108","3.58",
86,042660,대우조선해양,"44,800","0","0.0","0","0","0","0","0","2,937,847,808,000","0.18","65,576,960","2,478,313","3.78",
87,000210,대림산업,"80,900","900","1.1","161,601","13,051,046,400","80,200","81,200","79,700","2,815,320,000,000","0.18","34,800,000","11,813,295","33.95",
