순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"592,000","-6,000","-1.0","411,839","247,544,574,000","600,000","609,000","592,000","87,201,207,504,000","10.98","147,299,337","67,314,492","45.70",1954
2,005490,POSCO,"423,500","-3,000","-0.7","225,021","96,085,009,500","428,500","431,000","423,000","36,923,624,622,500","4.65","87,186,835","41,096,504","47.14",
3,015760,한국전력,"29,650","150","0.5","1,256,544","37,429,531,450","29,800","30,150","29,300","19,022,482,660,800","2.40","641,567,712","171,176,813","26.68",
4,066570,LG전자,"117,000","-1,500","-1.3","716,175","84,326,903,000","119,500","120,000","116,000","16,923,794,238,000","2.13","144,647,814","35,529,828","24.56",
5,005380,현대차,"74,100","0","0.0","1,010,265","75,687,632,000","74,800","76,000","74,000","16,322,487,093,900","2.06","220,276,479","71,318,892","32.38",
6,055550,신한지주,"32,250","450","1.4","4,146,684","135,278,718,650","32,200","32,950","32,150","15,292,936,680,750","1.93","474,199,587","250,218,509","52.77",
7,105560,KB금융,"42,800","550","1.3","1,833,385","79,279,457,500","42,650","43,600","42,650","15,251,852,460,400","1.92","356,351,693","203,597,709","57.13",
8,009540,현대중공업,"190,500","2,000","1.1","300,523","57,334,171,000","190,500","193,000","188,500","14,478,000,000,000","1.82","76,000,000","12,989,983","17.09",
9,017670,SK텔레콤,"174,000","0","0.0","226,047","39,593,079,000","174,000","176,000","173,500","14,049,753,714,000","1.77","80,745,711","36,602,954","45.33",
10,034220,LG디스플레이,"31,800","-450","-1.4","3,822,906","121,747,805,400","32,650","32,950","31,450","11,378,539,260,000","1.43","357,815,700","101,788,572","28.45",
11,003550,LG,"60,900","200","0.3","438,993","26,857,384,300","61,400","62,000","60,500","10,508,729,277,900","1.32","172,557,131","42,695,195","24.74",
12,033780,KT&G,"72,000","100","0.1","758,793","54,641,272,200","71,900","72,500","71,600","9,993,059,784,000","1.26","138,792,497","72,678,458","52.36",
13,012330,현대모비스,"111,500","-2,500","-2.2","463,735","51,585,129,000","113,000","114,500","108,500","9,766,397,280,500","1.23","87,591,007","33,101,017","37.79",
14,030200,KT,"36,750","400","1.1","1,266,445","46,401,816,050","36,450","36,900","36,250","9,595,858,944,000","1.21","261,111,808","100,464,093","38.48",
15,004170,신세계,"505,000","5,000","1.0","106,432","54,383,103,000","500,000","523,000","500,000","9,524,552,500,000","1.20","18,860,500","8,824,531","46.79",
16,096770,SK에너지,"102,500","1,500","1.5","491,379","50,201,130,500","102,500","103,000","100,500","9,477,720,310,000","1.19","92,465,564","27,015,389","29.22",
17,051910,LG화학,"139,500","2,000","1.4","500,274","68,913,031,000","139,000","139,500","135,500","9,244,818,450,000","1.16","66,271,100","14,303,056","21.58",
18,000810,삼성화재,"188,000","-500","-0.3","167,872","31,859,953,000","189,000","191,500","188,000","8,906,469,356,000","1.12","47,374,837","25,156,985","53.10",
19,005935,삼성전자우,"390,000","2,000","0.5","22,642","8,823,088,014","387,000","391,500","386,000","8,905,036,530,000","1.12","22,833,427","18,423,344","80.69",
20,035420,NHN,"176,500","2,000","1.2","258,203","45,896,089,500","175,500","179,500","175,000","8,494,539,756,000","1.07","48,127,704","23,240,155","48.29",
21,053000,우리금융,"10,200","150","1.5","4,079,419","41,766,491,250","10,200","10,350","10,100","8,221,356,468,000","1.04","806,015,340","70,777,375","8.78",
22,000660,하이닉스,"13,650","0","0.0","8,169,007","112,898,986,950","13,850","14,000","13,550","8,048,327,496,300","1.01","589,621,062","86,094,013","14.60",
23,023530,롯데쇼핑,"262,000","9,000","3.6","86,923","22,748,676,500","257,000","264,000","253,500","7,609,363,988,000","0.96","29,043,374","5,572,339","19.19",
24,000830,삼성물산,"42,950","400","0.9","653,407","28,025,855,000","42,800","43,300","42,300","6,709,552,963,800","0.85","156,217,764","27,566,296","17.65",
25,010140,삼성중공업,"29,000","700","2.5","1,159,404","33,387,343,300","28,600","29,000","28,400","6,695,386,194,000","0.84","230,875,386","54,382,378","23.55",
26,034020,두산중공업,"61,300","-100","-0.2","1,533,302","94,885,280,000","62,200","63,300","60,600","6,437,719,870,000","0.81","105,019,900","10,983,311","10.46",
27,010950,S-Oil,"56,900","-200","-0.4","280,918","16,024,160,000","57,100","57,400","56,600","6,405,960,864,800","0.81","112,582,792","51,384,912","45.64",
28,004940,외환은행,"9,920","170","1.7","4,297,820","43,093,481,960","9,890","10,150","9,850","6,397,475,713,920","0.81","644,906,826","452,176,183","70.11",
29,024110,기업은행,"10,950","200","1.9","5,455,236","60,716,853,200","10,900","11,250","10,900","5,952,600,707,850","0.75","543,616,503","48,079,735","8.84",
30,000720,현대건설,"53,400","-100","-0.2","1,346,723","71,885,259,000","54,200","54,600","52,300","5,930,441,877,600","0.75","111,056,964","20,204,919","18.19",
31,086790,하나금융지주,"27,400","500","1.9","1,800,484","50,068,755,650","27,450","28,250","27,300","5,804,733,648,200","0.73","211,851,593","129,991,628","61.36",
32,029780,삼성카드,"44,950","200","0.4","236,433","10,565,580,850","45,000","45,150","44,100","5,527,002,150,450","0.70","122,958,891","9,247,444","7.52",
33,004020,현대제철,"59,000","1,100","1.9","435,185","25,478,752,300","58,500","59,000","57,700","5,008,977,221,000","0.63","84,897,919","9,988,233","11.76",
34,003600,SK,"106,500","0","0.0","106,032","11,391,531,500","107,500","108,500","106,000","5,001,432,978,000","0.63","46,961,812","14,752,398","31.41",
35,006400,삼성SDI,"103,500","-2,000","-1.9","649,250","66,732,930,500","105,000","106,000","100,500","4,715,288,293,500","0.59","45,558,341","6,159,009","13.52",
36,000270,기아차,"12,600","-500","-3.8","6,730,548","86,395,690,300","13,300","13,300","12,550","4,643,153,625,600","0.58","368,504,256","37,958,026","10.30",
37,009150,삼성전기,"61,000","-2,000","-3.2","1,824,511","112,716,152,500","63,300","63,700","60,500","4,556,315,456,000","0.57","74,693,696","8,868,773","11.87",
38,016360,삼성증권,"67,800","0","0.0","266,003","18,147,505,800","68,600","69,000","67,600","4,531,424,187,000","0.57","66,835,165","12,431,987","18.60",
39,010060,OCI,"214,500","6,500","3.1","371,207","79,989,076,500","211,000","219,500","210,000","4,485,109,414,500","0.56","20,909,601","3,024,255","14.46",
40,047040,대우건설,"12,900","-850","-6.2","6,530,923","85,757,005,200","13,500","13,650","12,800","4,201,772,984,400","0.53","325,718,836","28,609,005","8.78",
41,090430,아모레퍼시픽,"683,000","9,000","1.3","25,393","17,321,715,000","677,000","689,000","669,000","3,992,714,867,000","0.50","5,845,849","1,792,996","30.67",
42,002380,KCC,"377,000","5,000","1.3","40,943","15,330,240,000","375,500","377,000","367,000","3,966,040,000,000","0.50","10,520,000","1,416,523","13.47",
43,036570,엔씨소프트,"183,000","4,500","2.5","312,999","56,707,044,000","180,500","183,000","177,000","3,867,333,693,000","0.49","21,132,971","3,111,703","14.72",
44,042660,대우조선해양,"20,000","500","2.6","1,036,305","20,673,916,450","19,850","20,100","19,700","3,827,815,160,000","0.48","191,390,758","27,405,753","14.32",
45,012450,삼성테크윈,"72,000","900","1.3","417,388","29,703,435,100","72,500","72,600","69,600","3,825,360,000,000","0.48","53,130,000","6,488,201","12.21",
46,006360,GS건설,"74,000","100","0.1","309,709","22,882,439,600","74,500","74,800","73,200","3,774,000,000,000","0.48","51,000,000","21,663,529","42.48",
47,036460,한국가스공사,"47,300","-800","-1.7","612,830","29,677,491,200","48,100","48,850","47,300","3,655,557,323,000","0.46","77,284,510","4,433,043","5.74",
48,006800,대우증권,"19,000","-200","-1.0","1,335,034","25,716,017,650","19,550","19,650","19,000","3,611,916,929,000","0.45","190,100,891","24,738,776","13.01",
49,001740,SK네트웍스,"14,750","250","1.7","1,102,930","16,154,572,500","14,750","14,900","14,350","3,584,202,770,500","0.45","242,996,798","9,696,782","3.99",
50,035250,강원랜드,"16,300","500","3.2","764,490","12,512,585,400","15,850","16,700","15,850","3,487,230,150,000","0.44","213,940,500","54,288,664","25.38",
51,028050,삼성엔지니어링,"84,700","1,100","1.3","164,873","13,990,331,900","84,400","85,300","83,600","3,388,000,000,000","0.43","40,000,000","9,578,612","23.95",
52,051900,LG생활건강,"216,000","4,000","1.9","49,451","10,630,824,500","214,000","216,500","210,500","3,373,530,552,000","0.42","15,618,197","7,083,139","45.35",
53,004800,효성,"93,400","-3,900","-4.0","831,092","76,933,764,800","97,300","98,400","89,800","3,279,970,297,000","0.41","35,117,455","3,786,110","10.78",
54,011200,현대상선,"24,450","-150","-0.6","265,035","6,598,481,750","24,800","25,500","24,450","3,253,640,449,050","0.41","133,073,229","19,930,669","14.98",
55,086280,글로비스,"84,800","800","1.0","128,541","10,812,039,700","82,500","85,000","82,500","3,180,000,000,000","0.40","37,500,000","6,525,805","17.40",
56,012630,현대산업,"40,350","150","0.4","949,116","38,441,250,100","41,100","41,300","39,900","3,041,751,663,000","0.38","75,384,180","48,503,399","64.34",
57,006260,LS,"94,200","700","0.8","168,455","15,721,969,400","93,500","95,300","91,400","3,033,240,000,000","0.38","32,200,000","3,420,890","10.62",
58,037620,미래에셋증권,"69,500","-600","-0.9","313,822","22,012,462,200","71,000","71,200","69,400","2,911,509,012,000","0.37","41,892,216","5,564,481","13.28",
59,078930,GS,"29,900","100","0.3","377,585","11,366,148,900","30,300","30,500","29,700","2,778,169,802,200","0.35","92,915,378","16,193,894","17.43",
60,047050,대우인터내셔널,"27,550","150","0.6","404,697","11,215,682,200","27,950","28,050","27,350","2,695,448,994,450","0.34","97,838,439","7,306,287","7.47",
61,010130,고려아연,"138,500","2,500","1.8","79,678","11,015,895,000","138,500","140,000","136,000","2,613,495,000,000","0.33","18,870,000","3,022,999","16.02",
62,003490,대한항공,"35,600","750","2.2","584,504","20,751,100,150","34,900","35,900","34,900","2,562,190,063,600","0.32","71,971,631","7,145,164","9.93",
63,000240,한국타이어,"16,650","-200","-1.2","1,378,218","23,570,731,200","17,000","17,800","16,600","2,533,962,317,850","0.32","152,189,929","55,532,333","36.49",
64,010620,현대미포조선,"126,500","1,500","1.2","93,258","11,808,221,500","125,000","129,000","125,000","2,530,000,000,000","0.32","20,000,000","5,484,389","27.42",
65,000880,한화,"32,850","-900","-2.7","823,092","27,189,840,500","34,050","34,300","32,500","2,462,394,444,750","0.31","74,958,735","9,017,497","12.03",
66,011170,호남석유,"76,700","-300","-0.4","199,221","15,493,081,800","77,900","78,700","76,700","2,443,662,000,000","0.31","31,860,000","7,751,338","24.33",
67,028670,STX팬오션,"11,800","300","2.6","2,284,317","26,973,539,250","11,700","12,000","11,600","2,429,122,582,800","0.31","205,857,846","14,550,849","7.07",
68,042670,두산인프라코어,"14,150","200","1.4","1,687,914","24,193,818,600","14,150","14,600","14,000","2,380,689,163,600","0.30","168,246,584","11,592,878","6.89",
69,003450,현대증권,"13,950","-50","-0.4","1,167,124","16,508,880,100","14,250","14,450","13,900","2,371,500,000,000","0.30","170,000,000","18,144,763","10.67",
70,021240,웅진코웨이,"31,000","300","1.0","399,685","12,349,453,200","30,600","31,100","30,400","2,307,391,783,000","0.29","74,431,993","36,498,254","49.04",
71,001300,제일모직,"45,900","0","0.0","303,159","13,856,766,000","45,950","46,150","45,200","2,295,000,000,000","0.29","50,000,000","10,515,081","21.03",
72,010120,LS산전,"76,200","500","0.7","182,404","13,867,018,100","76,500","77,300","74,400","2,286,000,000,000","0.29","30,000,000","2,730,111","9.10",
73,032640,LG텔레콤,"8,020","-70","-0.9","1,293,098","10,409,071,970","8,070","8,140","8,020","2,223,773,008,600","0.28","277,278,430","119,509,021","43.10",
74,000150,두산,"89,000","3,000","3.5","305,221","26,706,266,700","87,000","89,400","85,200","2,209,459,888,000","0.28","24,825,392","1,842,769","7.42",
75,000210,대림산업,"61,800","800","1.3","187,159","11,570,237,200","61,500","62,400","61,000","2,150,640,000,000","0.27","34,800,000","13,724,797","39.44",
76,012750,에스원,"54,200","600","1.1","99,034","5,372,116,500","54,200","54,800","53,700","2,059,555,447,600","0.26","37,999,178","20,320,282","53.48",
77,069960,현대백화점,"89,600","1,700","1.9","71,576","6,424,389,000","89,000","90,200","89,000","2,034,791,091,200","0.26","22,709,722","9,507,986","41.87",
78,005940,우리투자증권,"15,000","-200","-1.3","1,673,389","25,330,730,350","15,450","15,600","14,850","1,987,707,945,000","0.25","132,513,863","19,744,301","14.90",
79,071050,한국금융지주,"36,700","-650","-1.7","305,388","11,532,365,950","37,650","39,000","36,700","1,940,556,723,500","0.24","52,876,205","19,340,813","36.58",
80,000100,유한양행,"187,000","2,000","1.1","62,811","11,667,193,500","185,500","187,000","182,500","1,892,632,984,000","0.24","10,121,032","3,273,218","32.34",
81,000120,대한통운,"81,600","-2,400","-2.9","34,813","2,906,243,800","84,900","85,300","81,600","1,861,487,270,400","0.23","22,812,344","821,752","3.60",
82,005830,동부화재,"26,200","100","0.4","314,435","8,236,159,750","26,400","26,400","26,050","1,854,960,000,000","0.23","70,800,000","16,083,510","22.72",
83,068270,셀트리온,"16,800","600","3.7","2,567,188","42,429,247,900","16,500","17,150","15,650","1,813,145,493,600","0.23","107,925,327","3,262,541","3.02",
84,097950,CJ제일제당,"149,500","2,000","1.4","49,868","7,436,754,000","147,500","150,500","147,500","1,775,338,363,500","0.22","11,875,173","1,850,658","15.58",
85,088980,맥쿼리인프라,"4,940","100","2.1","729,432","3,578,205,730","4,840","4,940","4,835","1,637,409,144,540","0.21","331,459,341","97,806,546","29.51",
86,005280,부산은행,"8,750","260","3.1","1,758,967","15,258,358,740","8,570","8,820","8,560","1,633,481,937,500","0.21","186,683,650","85,237,481","45.66",
87,001230,동국제강,"25,850","50","0.2","438,817","11,482,763,700","26,100","26,450","25,850","1,598,157,896,500","0.20","61,824,290","18,814,319","30.43",
88,097230,한진중공업,"33,200","400","1.2","468,556","15,649,587,750","33,400","33,800","32,950","1,587,311,322,400","0.20","47,810,582","6,759,594","14.14",
89,000700,한진해운,"17,800","200","1.1","1,409,074","25,558,597,200","17,850","18,400","17,750","1,572,955,686,600","0.20","88,368,297","19,691,800","22.28",
90,005270,대구은행,"11,700","-100","-0.8","707,991","8,287,986,000","11,650","11,900","11,450","1,545,862,500,000","0.19","132,125,000","80,460,851","60.90",
91,011070,LG이노텍,"127,000","1,000","0.8","48,575","6,111,489,000","129,000","129,000","123,000","1,526,641,600,000","0.19","12,020,800","528,648","4.40",
92,003470,동양종금증권,"13,000","-100","-0.8","2,022,592","26,636,656,800","13,400","13,500","12,800","1,524,865,641,000","0.19","117,297,357","7,691,173","6.56",
93,103150,하이트맥주,"157,000","-2,000","-1.3","10,974","1,732,062,000","160,000","160,000","156,500","1,501,535,126,000","0.19","9,563,918","3,992,508","41.75",
94,051600,한전KPS,"33,300","850","2.6","154,674","5,047,429,050","32,600","33,300","32,150","1,498,500,000,000","0.19","45,000,000","2,358,473","5.24",
95,044490,태웅,"89,900","-4,100","-4.4","140,006","12,819,197,400","95,000","96,500","89,700","1,493,276,758,000","0.19","16,610,420","3,416,621","20.57",
