순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"335,000","-17,500","-5.0","1,277,121","437,500,300,000","340,000","353,500","332,500","50,353,737,440,000","65.01","150,309,664","82,508,880","54.89",1434
2,022875,평화은행우선,"1,001,000","0","0.0","0","0","0","0","0","44,044,000,000,000","56.87","44,000,000","0","0.00",
3,030200,한국통신공사,"98,000","-5,500","-5.3","1,158,473","116,430,928,000","101,000","103,000","98,000","30,595,566,582,000","39.50","312,199,659","54,203,385","17.36",
4,017670,SK텔레콤,"3,600,000","-211,000","-5.5","18,604","68,267,980,000","3,670,000","3,800,000","3,600,000","30,008,790,000,000","38.75","8,335,775","2,654,500","31.84",
5,015760,한국전력,"31,500","-550","-1.7","1,968,790","62,497,546,500","31,000","32,450","30,900","20,163,177,594,000","26.03","640,100,876","145,360,789","22.71",
6,032390,한통프리텔,"87,900","-1,700","-1.9","553,058","48,807,755,200","87,000","92,000","85,200","12,540,058,098,300","16.19","142,662,777","14,745,310","10.34",
7,000660,현대전자,"24,600","-900","-3.5","7,857,470","197,624,609,000","24,550","26,000","24,550","12,151,323,208,800","15.69","493,956,228","119,369,581","24.17",
8,005490,포항제철,"106,500","-2,000","-1.8","303,005","33,088,417,500","106,500","112,000","106,500","10,275,186,562,500","13.27","96,480,625","28,944,187","30.00",
9,015940,데 이 콤,"301,000","-7,000","-2.3","106,884","32,172,584,000","300,000","310,000","295,000","7,206,843,000,000","9.30","23,943,000","2,942,772","12.29",
10,009150,삼성전기,"77,200","-2,300","-2.9","389,400","30,248,266,000","78,900","79,000","77,000","5,756,338,561,200","7.43","74,563,971","25,039,566","33.58",
11,030700,한통엠닷컴,"35,950","-50","-0.1","619,563","22,258,395,100","35,700","37,000","35,000","5,634,577,126,150","7.27","156,733,717","57,957,945","36.98",
12,033780,담배인삼공사,"24,150","-450","-1.8","166,170","4,095,303,000","24,800","25,000","24,150","4,612,454,312,550","5.96","190,991,897","6,363,060","3.33",
13,011650,LG정보,"139,000","-4,500","-3.1","189,570","26,601,885,000","137,500","143,500","137,500","4,295,100,000,000","5.55","30,900,000","5,544,486","17.94",
14,033630,하나로통신,"17,400","400","2.4","1,442,622","24,302,601,500","16,550","17,450","16,450","4,176,000,000,000","5.39","240,000,000","7,714,208","3.21",
15,005935,삼성전자(1우),"170,000","-9,000","-5.0","478,486","82,544,045,000","166,000","179,500","165,000","4,061,882,590,000","5.24","23,893,427","10,262,496","42.95",
16,002610,LG전자,"32,200","-1,600","-4.7","1,658,780","54,865,367,000","32,800","34,450","32,100","3,455,950,845,200","4.46","107,327,666","21,782,524","20.30",
17,023130,국민은행,"11,200","-550","-4.7","2,453,820","28,244,979,000","11,500","11,850","11,200","3,355,670,225,600","4.33","299,613,413","145,951,351","48.71",
18,003550,LG화학,"31,600","-900","-2.8","698,390","22,508,523,500","32,000","32,900","31,500","3,084,593,994,400","3.98","97,613,734","33,143,938","33.95",
19,003600,SK,"25,500","-1,500","-5.6","504,340","13,107,352,500","26,400","26,900","25,400","2,955,140,532,000","3.82","115,887,864","30,639,798","26.44",
20,015580,신한은행,"11,850","-150","-1.2","1,122,900","13,208,828,500","11,700","12,000","11,500","2,929,462,105,200","3.78","247,211,992","121,898,390","49.31",
21,005380,현 대 차,"13,400","-600","-4.3","1,987,640","26,924,776,500","13,600","13,800","13,300","2,793,507,406,800","3.61","208,470,702","61,038,034","29.28",
22,009540,현대중공업,"32,300","500","1.6","204,670","6,588,140,000","31,500","32,800","31,400","2,454,800,000,000","3.17","76,000,000","1,334,047","1.76",
23,036460,한국가스공사,"30,400","2,100","7.4","643,190","19,307,840,500","28,300","30,400","28,100","2,349,449,104,000","3.03","77,284,510","6,671","0.01",
24,027460,주택은행,"21,500","-300","-1.4","536,080","11,545,574,500","21,600","21,900","21,250","2,344,844,911,000","3.03","109,062,554","70,309,986","64.47",
25,000830,삼성물산,"14,850","-1,150","-7.2","1,833,620","28,004,569,000","15,750","15,800","14,850","2,308,217,590,800","2.98","155,435,528","40,339,836","25.95",
26,000270,기 아 차,"5,000","0","0.0","743,900","3,693,007,650","5,100","5,140","4,800","2,247,272,510,000","2.90","449,454,502","29,212,488","6.50",
27,015585,신한은행(1우C),"38,400","0","0.0","0","0","0","0","0","2,246,400,000,000","2.90","58,500,000","0","0.00",
28,035610,새롬기술,"56,400","-7,600","-11.9","3,895,143","232,238,630,500","60,500","64,000","56,400","2,042,904,895,200","2.64","36,221,718","1,535,612","4.24",
29,016360,삼성증권,"26,500","-1,500","-5.4","1,366,880","37,699,784,000","28,400","28,850","26,500","2,032,782,696,500","2.62","76,708,781","15,528,083","20.24",
30,006400,삼성SDI,"41,000","-2,500","-5.8","515,190","21,759,107,500","42,200","43,700","40,700","1,902,061,217,000","2.46","46,391,737","12,880,239","27.76",
31,004945,외환은행(1우B),"35,300","0","0.0","0","0","0","0","0","1,835,600,000,000","2.37","52,000,000","52,000,000","100.00",
32,005940,LG투자증권,"14,400","-100","-0.7","2,670,410","38,551,563,000","14,600","15,000","13,900","1,764,033,768,000","2.28","122,502,345","9,537,208","7.79",
33,036030,한통하이텔,"47,800","-3,900","-7.5","324,916","15,785,496,600","50,000","50,800","46,900","1,649,100,000,000","2.13","34,500,000","51,961","0.15",
34,001040,제일제당,"72,700","-2,800","-3.7","132,795","9,801,105,500","76,000","76,000","71,900","1,590,813,621,100","2.05","21,881,893","4,034,884","18.44",
35,000030,한빛은행,"1,730","-70","-3.9","2,174,650","3,826,530,150","1,750","1,800","1,730","1,512,889,068,960","1.95","874,502,352","102,437,720","11.71",
36,003450,현대증권,"14,100","-450","-3.1","1,799,660","26,193,553,500","14,700","15,150","14,050","1,412,844,449,400","1.82","100,201,734","4,574,863","4.57",
37,000010,조흥은행,"2,005","-20","-1.0","578,270","1,167,063,650","2,000","2,050","1,990","1,361,551,620,575","1.76","679,078,115","3,360,193","0.49",
38,014900,삼보컴퓨터,"85,500","-8,500","-9.0","574,637","50,454,892,500","88,000","91,900","85,500","1,333,304,955,000","1.72","15,594,210","3,920,466","25.14",
39,034600,로커스,"143,000","-5,500","-3.7","263,583","36,584,873,000","139,000","146,500","132,000","1,316,765,164,000","1.70","9,208,148","3,459,945","37.57",
40,030520,한글과컴퓨터,"26,000","-2,000","-7.1","2,046,919","54,451,518,700","26,600","27,600","25,600","1,265,527,744,000","1.63","48,674,144","8,176,510","16.80",
41,000810,삼성화재,"27,100","-1,600","-5.6","386,980","10,721,295,000","28,000","28,700","27,100","1,264,431,800,000","1.63","46,658,000","11,931,657","25.57",
42,034120,SBS,"49,000","200","0.4","231,574","11,007,329,900","47,000","49,400","45,500","1,254,400,000,000","1.62","25,600,000","0","0.00",
43,035720,다음,"102,500","-12,500","-10.9","655,624","74,171,972,000","111,500","122,000","102,000","1,230,010,250,000","1.59","12,000,100","1,273,337","10.61",
44,025770,한국정보통신,"110,000","-14,500","-11.6","554,332","62,139,855,500","116,000","121,500","110,000","1,226,500,000,000","1.58","11,150,000","392,086","3.52",
45,035430,드림라인,"71,000","-3,500","-4.7","279,932","19,896,295,400","70,000","73,600","69,100","1,198,125,000,000","1.55","16,875,000","1,137,218","6.74",
46,000310,해태제과,"7,210","-240","-3.2","743,310","5,359,450,600","7,020","7,400","7,020","1,172,490,142,320","1.51","162,619,992","4,033","0.00",
47,010950,쌍용정유,"20,500","50","0.2","250,250","5,056,307,500","20,150","20,850","20,000","1,153,973,618,000","1.49","56,291,396","27,932,552","49.62",
48,036930,주성엔지니어,"68,000","-2,900","-4.1","370,564","25,528,981,200","67,500","72,000","66,000","1,096,160,000,000","1.42","16,120,000","491,947","3.05",
49,001830,아남반도체,"19,200","-100","-0.5","1,244,180","24,420,622,000","18,500","20,800","18,500","1,058,152,780,800","1.37","55,112,124","24,298,516","44.09",
50,000720,현대건설,"3,720","40","1.1","2,280,330","8,500,228,050","3,610","3,790","3,600","973,644,118,800","1.26","261,732,290","23,066,806","8.81",
51,010140,삼성중공업,"4,030","30","0.8","1,641,800","6,568,596,500","4,000","4,045","3,940","930,386,074,930","1.20","230,865,031","15,685,787","6.79",
52,012450,삼성항공,"10,700","200","1.9","758,160","8,018,869,000","10,500","10,800","10,400","914,850,000,000","1.18","85,500,000","2,113,529","2.47",
53,024110,기업은행,"3,320","-100","-2.9","35,286","118,995,960","3,500","3,550","3,300","907,467,761,160","1.17","273,333,663","0","0.00",
54,011200,현대상선,"8,800","30","0.3","351,430","3,076,884,300","8,530","8,870","8,510","907,044,415,200","1.17","103,073,229","6,101,875","5.92",
55,033030,대양이앤씨,"16,900","-500","-2.9","740,386","12,574,283,200","16,800","17,700","16,500","876,096,000,000","1.13","51,840,000","11,795","0.02",
56,000110,제일은행,"2,645","0","0.0","0","0","0","0","0","846,400,000,000","1.09","320,000,000","0","0.00",
57,009830,한화석화,"8,450","1,100","15.0","975,710","7,519,071,600","7,350","8,450","7,200","842,119,175,300","1.09","99,659,074","13,107,145","13.15",
58,004940,외환은행,"1,880","-120","-6.0","3,373,910","6,435,195,500","1,950","1,960","1,870","835,377,742,440","1.08","444,349,863","128,744,022","28.97",
59,030210,종합기술금융,"13,850","-1,450","-9.5","1,192,330","17,123,076,000","14,700","14,800","13,850","835,350,174,200","1.08","60,314,092","7,180,888","11.91",
60,025560,미래산업,"6,200","400","6.9","5,265,030","32,308,480,500","5,800","6,400","5,750","772,752,500,000","1.00","124,637,500","32,850,541","26.36",
61,023590,다우기술,"22,800","0","0.0","1,139,940","26,424,842,000","22,800","23,900","22,500","752,400,000,000","0.97","33,000,000","5,253,722","15.92",
62,007360,하나은행,"6,750","-330","-4.7","452,280","3,099,029,000","6,900","7,000","6,750","743,601,465,000","0.96","110,163,180","23,090,053","20.96",
63,028150,LG홈쇼핑,"118,000","7,000","6.3","318,893","37,655,665,500","107,000","124,000","106,000","737,500,000,000","0.95","6,250,000","556,708","8.91",
64,007362,하나은행(8우B),"0","0","0.0","0","0","0","0","0","714,751,400,000","0.92","22,406,000","0","0.00",
