순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"1,275,000","9,000","0.7","134,054","170,954,198,000","1,270,000","1,281,000","1,266,000","184,963,404,675,000","12.59","145,069,337","71,850,108","49.53",2165
2,015760,한국전력,"59,000","300","0.5","594,755","34,965,727,500","58,800","59,100","58,500","37,875,880,543,000","2.58","641,964,077","209,345,941","32.61",
3,005380,현대차,"148,500","2,500","1.7","361,212","53,468,325,000","146,000","150,000","145,000","32,711,057,131,500","2.23","220,276,479","96,965,491","44.02",
4,028260,삼성물산,"140,000","2,500","1.8","328,292","45,764,049,500","138,000","140,500","137,000","26,556,606,020,000","1.81","189,690,043","15,309,860","8.07",
5,090430,아모레퍼시픽,"399,000","2,000","0.5","64,859","25,826,222,500","399,500","399,500","396,000","23,324,937,510,000","1.59","58,458,490","18,641,309","31.89",
6,032830,삼성생명,"115,500","1,500","1.3","202,044","23,133,270,500","114,500","115,500","113,500","23,100,000,000,000","1.57","200,000,000","31,669,545","15.83",
7,012330,현대모비스,"236,000","0","0.0","104,788","24,678,101,500","236,000","238,000","233,500","22,973,151,668,000","1.56","97,343,863","49,109,334","50.45",
8,005935,삼성전자우,"1,060,000","10,000","1.0","27,526","29,090,176,000","1,056,000","1,065,000","1,049,000","22,889,032,620,000","1.56","21,593,427","16,707,950","77.38",
9,035420,NAVER,"670,000","6,000","0.9","55,658","37,139,093,000","666,000","672,000","660,000","22,084,994,930,000","1.50","32,962,679","18,702,740","56.74",
10,051910,LG화학,"326,500","6,500","2.0","133,390","43,265,604,380","320,500","327,000","319,000","21,637,514,150,000","1.47","66,271,100","26,208,565","39.55",
11,005490,POSCO,"238,000","500","0.2","299,287","71,207,632,750","237,500","239,000","236,000","20,750,466,730,000","1.41","87,186,835","43,043,644","49.37",
12,000660,SK하이닉스,"27,150","0","0.0","1,850,577","50,500,161,800","27,200","27,550","27,100","19,765,264,209,750","1.35","728,002,365","348,404,147","47.86",
13,055550,신한지주,"39,800","-100","-0.2","602,631","23,974,641,950","39,900","40,000","39,350","18,873,143,562,600","1.28","474,199,587","313,509,051","66.11",
14,000270,기아차,"46,300","450","1.0","817,889","37,721,659,850","45,750","46,500","45,550","18,768,322,966,100","1.28","405,363,347","155,772,279","38.43",
15,017670,SK텔레콤,"203,500","2,000","1.0","103,344","20,975,782,500","201,000","204,500","201,000","16,431,752,188,500","1.12","80,745,711","32,499,003","40.25",
16,096770,SK이노베이션,"171,500","1,500","0.9","144,519","24,618,379,500","170,500","171,500","168,000","15,857,844,226,000","1.08","92,465,564","37,316,410","40.36",
