순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"518,000","-2,000","-0.4","213,519","110,646,103,000","518,000","520,000","516,000","76,301,056,566,000","15.37","147,299,337","80,143,362","54.41",1747
2,015760,한국전력,"27,800","750","2.8","771,595","21,375,775,000","27,300","28,050","27,200","17,812,810,329,400","3.59","640,748,573","199,280,952","31.10",
3,005490,POSCO,"197,500","500","0.2","317,742","62,928,382,500","200,000","201,000","196,500","17,219,399,912,500","3.47","87,186,835","57,863,071","66.37",
4,060000,국민은행,"46,050","-250","-0.5","357,828","16,558,792,900","46,150","46,550","46,050","15,490,258,291,800","3.12","336,379,116","263,251,633","78.26",
5,034220,LG필립스LCD,"44,000","-950","-2.1","1,301,565","57,202,083,500","44,600","44,950","43,400","14,313,890,800,000","2.88","325,315,700","164,500,267","50.57",
6,017670,SK텔레콤,"171,500","-500","-0.3","93,915","16,115,741,500","171,500","173,500","170,500","14,110,455,936,500","2.84","82,276,711","39,608,977","48.14",
7,005380,현대차,"57,400","100","0.2","456,687","26,141,909,800","57,100","57,500","56,800","12,549,264,534,800","2.53","218,628,302","105,511,128","48.26",
8,030200,KT,"38,800","700","1.8","850,766","32,877,163,300","38,100","38,900","38,100","11,052,156,720,000","2.23","284,849,400","138,761,238","48.71",
9,066570,LG전자,"68,500","-1,000","-1.4","603,981","41,564,622,500","69,800","69,900","68,400","9,572,029,299,000","1.93","139,737,654","51,631,826","36.95",
10,010950,S-Oil,"84,300","-2,100","-2.4","188,569","15,976,892,700","85,800","85,900","84,300","9,490,729,365,600","1.91","112,582,792","54,264,254","48.20",
11,055550,신한지주,"26,550","-150","-0.6","1,812,647","48,035,830,200","26,700","26,850","26,250","8,477,919,742,050","1.71","319,319,011","202,193,765","63.32",
12,003600,SK,"63,500","-1,100","-1.7","422,191","26,879,038,500","64,000","64,500","62,800","8,135,640,447,000","1.64","128,120,322","74,830,654","58.41",
13,005935,삼성전자(1우),"347,500","-500","-0.1","16,337","5,668,064,500","348,500","348,500","346,000","7,934,615,882,500","1.60","22,833,427","18,839,637","82.51",
14,053000,우리금융,"9,790","-130","-1.3","2,466,083","24,268,303,470","9,900","10,000","9,760","7,890,890,178,600","1.59","806,015,340","97,349,646","12.08",
15,004170,신세계,"329,000","3,000","0.9","39,485","13,007,586,000","326,000","332,500","326,000","6,205,104,500,000","1.25","18,860,500","8,825,002","46.79",
16,000660,하이닉스,"13,500","-350","-2.5","3,899,687","53,643,664,500","13,950","14,050","13,350","6,009,588,652,500","1.21","445,154,715","21,290,784","4.78",
17,012330,현대모비스,"68,900","-700","-1.0","82,010","5,686,838,000","69,600","70,000","68,900","5,892,274,395,800","1.19","85,519,222","39,215,744","45.86",
18,033780,KT&G,"35,100","-350","-1.0","188,594","6,620,158,900","35,400","35,450","34,500","5,807,031,644,700","1.17","165,442,497","100,985,305","61.04",
