순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"1,260,000","6,000","0.5","203,958","257,149,317,000","1,260,000","1,272,000","1,254,000","185,597,164,620,000","12.81","147,299,337","72,749,647","49.39",2149
2,005380,현대차,"149,000","0","0.0","254,514","37,966,109,500","150,000","150,500","148,500","32,821,195,371,000","2.27","220,276,479","96,715,845","43.91",
3,015760,한국전력,"50,000","350","0.7","743,735","37,096,924,600","49,650","50,300","49,450","32,098,203,850,000","2.22","641,964,077","204,919,185","31.92",
4,028260,삼성물산,"140,000","-2,000","-1.4","270,526","38,161,463,000","142,000","143,000","140,000","26,556,606,020,000","1.83","189,690,043","18,610,586","9.81",
5,005935,삼성전자우,"1,091,000","18,000","1.7","41,028","44,662,497,000","1,074,000","1,099,000","1,073,000","24,911,268,857,000","1.72","22,833,427","17,233,683","75.48",
6,090430,아모레퍼시픽,"414,500","500","0.1","86,540","36,150,330,500","414,000","423,500","412,500","24,231,044,105,000","1.67","58,458,490","18,073,334","30.92",
7,012330,현대모비스,"246,500","-1,000","-0.4","88,619","21,807,278,000","247,500","249,500","243,500","23,995,262,229,500","1.66","97,343,863","49,285,389","50.63",
8,000660,SK하이닉스,"30,750","-450","-1.4","1,801,261","55,517,464,750","31,100","31,450","30,550","22,386,072,723,750","1.55","728,002,365","343,367,438","47.17",
9,032830,삼성생명,"110,000","-500","-0.4","248,608","27,377,516,500","110,000","111,000","109,500","22,000,000,000,000","1.52","200,000,000","35,896,459","17.95",
10,051910,LG화학,"328,500","-3,500","-1.0","170,894","56,077,290,000","333,500","333,500","326,500","21,770,056,350,000","1.50","66,271,100","25,344,399","38.24",
11,035420,NAVER,"658,000","16,000","2.5","64,215","42,006,647,000","642,000","668,000","639,000","21,689,442,782,000","1.50","32,962,679","18,875,702","57.26",
12,000270,기아차,"52,600","-500","-0.9","539,792","28,314,094,300","52,800","53,200","52,000","21,322,112,052,200","1.47","405,363,347","160,420,483","39.57",
13,018260,삼성에스디에스,"254,000","-2,000","-0.8","78,383","19,839,610,500","256,000","256,500","251,500","19,653,961,200,000","1.36","77,377,800","5,088,417","6.58",
14,055550,신한지주,"39,550","-600","-1.5","688,533","27,312,223,500","40,200","40,350","39,500","18,754,593,665,850","1.29","474,199,587","313,371,648","66.08",
15,017670,SK텔레콤,"215,500","500","0.2","257,209","55,521,351,000","216,000","218,000","214,000","17,400,700,720,500","1.20","80,745,711","31,794,423","39.38",
