순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"47,000","500","1.1","12,949,231","607,214,695,012","47,000","47,000","46,700","280,579,779,850,000","16.88","5,969,782,550","3,419,029,386","57.27",2398
2,000660,SK하이닉스,"69,500","-700","-1.0","3,117,569","216,061,459,100","70,900","70,900","68,400","50,596,164,367,500","3.04","728,002,365","367,753,109","50.52",
3,005935,삼성전자우,"38,250","250","0.7","1,603,604","61,326,131,005","38,150","38,450","38,050","31,475,416,275,000","1.89","822,886,700","762,261,208","92.63",
4,005380,현대차,"140,000","-500","-0.4","274,397","38,369,741,500","140,000","141,000","139,000","29,913,546,180,000","1.80","213,668,187","94,600,191","44.27",
5,068270,셀트리온,"205,500","1,500","0.7","283,880","57,912,069,000","203,000","206,000","201,500","26,371,623,885,000","1.59","128,329,070","27,295,858","21.27",
6,051910,LG화학,"354,500","5,000","1.4","163,529","57,699,985,000","350,000","356,000","348,000","25,024,985,593,500","1.51","70,592,343","27,444,260","38.88",
7,012330,현대모비스,"235,500","0","0.0","159,416","37,473,289,500","233,500","237,000","232,000","22,444,726,437,000","1.35","95,306,694","45,654,385","47.90",
8,005490,POSCO,"244,500","0","0.0","148,862","36,339,132,500","244,500","245,500","242,500","21,317,181,157,500","1.28","87,186,835","47,193,917","54.13",
9,055550,신한지주,"44,900","-250","-0.6","859,688","38,819,119,850","45,100","45,450","44,750","21,291,561,456,300","1.28","474,199,587","319,108,653","67.29",
10,207940,삼성바이오로직스,"320,000","5,000","1.6","59,243","18,931,178,000","317,000","322,000","315,500","21,172,800,000,000","1.27","66,165,000","5,749,515","8.69",
11,017670,SK텔레콤,"259,000","1,500","0.6","137,478","35,880,219,000","257,000","263,000","257,000","20,913,139,149,000","1.26","80,745,711","32,641,217","40.42",
12,051900,LG생활건강,"1,313,000","-6,000","-0.4","14,184","18,666,458,000","1,315,000","1,324,000","1,308,000","20,506,692,661,000","1.23","15,618,197","7,058,783","45.20",
13,105560,KB금융,"45,850","100","0.2","817,890","37,526,465,324","46,000","46,100","45,750","19,170,413,971,450","1.15","418,111,537","283,022,589","67.69",
14,035420,NAVER,"114,000","-1,000","-0.9","267,404","30,413,378,000","114,500","115,500","112,500","18,788,727,030,000","1.13","164,813,395","95,724,308","58.08",
15,028260,삼성물산,"95,700","-700","-0.7","164,589","15,760,386,900","95,800","96,300","95,500","18,153,337,115,100","1.09","189,690,043","26,545,932","13.99",
16,000270,기아차,"44,000","150","0.3","761,767","33,371,960,700","43,500","44,000","43,300","17,835,987,268,000","1.07","405,363,347","174,375,138","43.02",
17,032830,삼성생명,"83,600","-400","-0.5","89,465","7,503,615,600","83,600","84,400","83,500","16,720,000,000,000","1.01","200,000,000","33,322,683","16.66",
18,018260,삼성에스디에스,"215,000","-1,000","-0.5","56,616","12,210,644,500","215,000","217,000","214,500","16,636,227,000,000","1.00","77,377,800","10,252,538","13.25",
19,015760,한국전력,"25,550","-100","-0.4","631,138","16,166,148,350","25,600","25,850","25,550","16,402,182,167,350","0.99","641,964,077","170,769,572","26.60",
20,034730,SK,"232,000","-2,000","-0.8","58,988","13,727,342,500","233,000","236,000","231,500","16,323,588,904,000","0.98","70,360,297","19,443,277","27.63",
21,006400,삼성SDI,"236,500","-1,000","-0.4","176,268","41,686,954,000","236,500","238,500","235,500","16,262,811,345,000","0.98","68,764,530","29,698,657","43.19",
22,096770,SK이노베이션,"159,000","-1,500","-0.9","133,768","21,332,765,000","159,500","160,500","159,000","14,702,024,676,000","0.88","92,465,564","34,436,768","37.24",
23,033780,KT&G,"98,500","-400","-0.4","259,365","25,586,045,500","98,600","99,200","98,500","13,523,310,954,500","0.81","137,292,497","70,204,601","51.14",
24,003550,LG,"76,900","-400","-0.5","121,112","9,328,187,600","77,300","77,700","76,500","13,269,643,373,900","0.80","172,557,131","60,261,424","34.92",
25,066570,LG전자,"79,300","-400","-0.5","517,996","41,164,153,000","79,600","80,500","78,900","12,977,271,650,200","0.78","163,647,814","55,849,325","34.13",
26,000810,삼성화재,"268,000","-2,500","-0.9","53,041","14,285,084,500","269,000","272,000","268,000","12,696,456,316,000","0.76","47,374,837","23,922,206","50.50",
27,086790,하나금융지주,"37,400","0","0.0","861,648","32,426,383,750","37,650","38,050","37,400","11,229,053,118,800","0.68","300,242,062","211,829,404","70.55",
28,035720,카카오,"131,500","0","0.0","362,354","47,682,368,500","131,500","133,000","130,000","10,972,672,049,500","0.66","83,442,373","21,020,922","25.19",
29,036570,엔씨소프트,"477,000","-4,000","-0.8","49,898","23,815,514,500","477,500","483,000","474,500","10,468,490,994,000","0.63","21,946,522","10,915,966","49.74",
30,251270,넷마블,"113,000","-9,500","-7.8","778,528","89,991,261,000","119,500","121,000","112,500","9,683,362,788,000","0.58","85,693,476","20,833,119","24.31",
31,090430,아모레퍼시픽,"164,500","-1,500","-0.9","130,697","21,522,838,500","166,000","167,000","163,500","9,616,421,605,000","0.58","58,458,490","19,470,966","33.31",
32,316140,우리금융지주,"14,050","-50","-0.4","770,307","10,832,924,050","14,150","14,200","14,000","9,556,308,499,300","0.57","680,164,306","206,213,772","30.32",
33,010950,S-Oil,"83,700","-300","-0.4","147,516","12,390,300,000","84,000","84,700","83,400","9,423,179,690,400","0.57","112,582,792","87,967,010","78.14",
34,010130,고려아연,"476,000","6,000","1.3","32,667","15,522,232,500","470,000","477,500","470,000","8,982,120,000,000","0.54","18,870,000","4,782,192","25.34",
35,011170,롯데케미칼,"252,500","-6,000","-2.3","70,692","17,950,399,500","257,500","257,500","252,500","8,654,543,297,500","0.52","34,275,419","11,109,665","32.41",
36,009540,한국조선해양,"118,500","-2,000","-1.7","142,889","16,993,404,500","120,500","120,500","118,000","8,386,614,246,000","0.50","70,773,116","11,490,511","16.24",
37,091990,셀트리온헬스케어,"56,500","-100","-0.2","343,315","19,414,810,100","56,700","57,500","55,900","8,125,719,712,000","0.49","143,818,048","38,733,651","26.93",
38,024110,기업은행,"14,050","0","0.0","637,285","8,992,646,900","14,050","14,200","14,050","8,077,968,735,700","0.49","574,944,394","135,603,611","23.59",
39,030200,KT,"28,350","250","0.9","591,590","16,785,427,702","28,150","28,500","28,100","7,402,519,756,800","0.45","261,111,808","127,944,786","49.00",
40,009150,삼성전기,"97,800","-100","-0.1","930,865","91,183,579,400","98,000","99,300","96,800","7,305,043,468,800","0.44","74,693,696","12,928,857","17.31",
41,035250,강원랜드,"30,250","-450","-1.5","231,966","7,034,645,150","30,450","30,700","30,200","6,471,700,125,000","0.39","213,940,500","64,524,311","30.16",
42,034220,LG디스플레이,"17,850","100","0.6","814,263","14,503,991,000","17,800","17,950","17,650","6,387,010,245,000","0.38","357,815,700","88,570,672","24.75",
43,032640,LG유플러스,"14,500","-150","-1.0","671,600","9,779,412,400","14,550","14,650","14,500","6,330,864,734,500","0.38","436,611,361","173,759,712","39.80",
44,018880,한온시스템,"11,650","-50","-0.4","552,221","6,404,321,650","11,650","11,700","11,450","6,218,770,000,000","0.37","533,800,000","100,397,380","18.81",
45,086280,현대글로비스,"161,000","-2,500","-1.5","71,230","11,532,578,000","162,500","164,500","160,500","6,037,500,000,000","0.36","37,500,000","13,588,609","36.24",
46,000720,현대건설,"53,600","-600","-1.1","726,905","38,824,239,000","54,300","55,400","52,400","5,968,669,004,000","0.36","111,355,765","27,845,187","25.01",
47,021240,웅진코웨이,"77,400","-6,500","-7.8","478,310","38,020,152,900","84,600","84,600","76,800","5,712,090,510,600","0.34","73,799,619","42,921,511","58.16",
48,004020,현대제철,"41,800","-500","-1.2","153,924","6,423,774,600","42,000","42,200","41,500","5,578,033,813,000","0.34","133,445,785","36,071,907","27.03",
