순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"2,121,000","26,000","1.2","180,816","380,817,182,000","2,083,000","2,123,000","2,083,000","298,380,873,777,000","18.63","140,679,337","70,767,184","50.30",2254
2,000660,SK하이닉스,"49,750","750","1.5","2,367,158","117,065,730,550","49,100","50,200","48,650","36,218,117,658,750","2.26","728,002,365","367,079,246","50.42",
3,005935,삼성전자우,"1,616,000","17,000","1.1","13,871","22,291,643,000","1,597,000","1,618,000","1,596,000","33,149,698,032,000","2.07","20,513,427","15,627,583","76.18",
4,005380,현대차,"142,500","1,000","0.7","537,212","76,449,805,000","143,000","144,500","141,000","31,389,398,257,500","1.96","220,276,479","101,463,779","46.06",
5,015760,한국전력,"45,400","850","1.9","1,845,419","83,379,770,750","44,550","45,450","44,300","29,145,169,095,800","1.82","641,964,077","206,621,170","32.19",
6,035420,NAVER,"802,000","34,000","4.4","173,040","136,800,875,000","773,000","803,000","770,000","26,436,068,558,000","1.65","32,962,679","20,058,120","60.85",
7,028260,삼성물산,"125,500","500","0.4","285,484","35,590,565,000","125,000","125,500","123,500","23,806,100,396,500","1.49","189,690,043","17,943,507","9.46",
8,005490,POSCO,"265,000","-8,000","-2.9","529,101","140,164,121,000","271,000","271,500","262,500","23,104,511,275,000","1.44","87,186,835","47,395,656","54.36",
9,055550,신한지주,"46,550","950","2.1","735,746","34,001,978,325","45,500","46,600","45,400","22,073,990,774,850","1.38","474,199,587","325,231,822","68.59",
10,032830,삼성생명,"109,000","1,500","1.4","236,664","25,652,741,500","108,000","109,000","107,500","21,800,000,000,000","1.36","200,000,000","31,281,932","15.64",
11,012330,현대모비스,"222,000","0","0.0","294,135","65,349,150,500","224,500","225,000","220,000","21,610,337,586,000","1.35","97,343,863","47,181,924","48.47",
12,105560,KB금융,"48,550","1,550","3.3","1,070,780","51,298,904,750","47,200","48,550","46,650","20,299,315,121,350","1.27","418,111,537","271,993,896","65.05",
13,017670,SK텔레콤,"245,500","2,500","1.0","176,540","43,107,661,400","244,000","246,000","241,500","19,823,072,050,500","1.24","80,745,711","33,971,000","42.07",
14,051910,LG화학,"274,000","-8,000","-2.8","295,018","81,312,837,000","282,500","282,500","274,000","19,342,301,982,000","1.21","70,592,343","26,268,048","37.21",
15,034730,SK,"234,500","5,000","2.2","70,558","16,423,188,000","231,500","234,500","229,500","16,499,489,646,500","1.03","70,360,297","17,322,672","24.62",
16,090430,아모레퍼시픽,"272,500","2,000","0.7","149,653","40,646,465,365","270,500","272,500","270,000","15,929,938,525,000","0.99","58,458,490","22,115,308","37.83",
17,096770,SK이노베이션,"163,500","500","0.3","123,082","20,035,578,500","163,500","164,000","161,500","15,118,119,714,000","0.94","92,465,564","38,477,921","41.61",
18,000270,기아차,"34,750","-350","-1.0","1,546,551","53,565,823,500","35,000","35,100","34,350","14,086,376,308,250","0.88","405,363,347","152,438,269","37.61",
19,033780,KT&G,"99,300","600","0.6","393,537","39,182,897,137","98,700","100,500","98,700","13,633,144,952,100","0.85","137,292,497","73,343,723","53.42",
20,000810,삼성화재,"268,500","6,000","2.3","75,288","20,146,934,000","265,000","269,000","264,000","12,720,143,734,500","0.79","47,374,837","22,115,956","46.68",
21,009540,현대중공업,"165,000","0","0.0","0","0","0","0","0","12,540,000,000,000","0.78","76,000,000","11,332,557","14.91",
22,051900,LG생활건강,"783,000","7,000","0.9","19,050","14,973,315,000","783,000","791,000","779,000","12,229,048,251,000","0.76","15,618,197","7,178,659","45.96",
23,003550,LG,"69,400","500","0.7","276,679","19,108,498,580","69,500","69,500","68,700","11,975,464,891,400","0.75","172,557,131","49,531,550","28.70",
24,207940,삼성바이오로직스,"179,500","-500","-0.3","85,096","15,311,965,500","181,000","181,000","178,500","11,876,617,500,000","0.74","66,165,000","7,944,357","12.01",
25,011170,롯데케미칼,"346,500","-11,000","-3.1","285,393","98,965,896,000","356,000","356,500","343,500","11,876,432,683,500","0.74","34,275,419","10,861,305","31.69",
26,066570,LG전자,"69,500","400","0.6","550,004","38,330,791,600","69,300","70,300","69,200","11,373,523,073,000","0.71","163,647,814","48,251,526","29.48",
27,034220,LG디스플레이,"30,900","500","1.6","1,526,443","46,889,963,950","30,450","30,900","30,200","11,056,505,130,000","0.69","357,815,700","121,267,749","33.89",
28,086790,하나금융지주,"36,900","1,350","3.8","1,181,311","42,997,456,300","35,600","36,900","35,450","10,922,512,987,800","0.68","296,003,062","214,392,297","72.43",
29,010950,S-Oil,"94,600","-800","-0.8","175,019","16,568,400,400","95,800","95,800","94,200","10,650,332,123,200","0.67","112,582,792","88,344,020","78.47",
30,018260,삼성에스디에스,"137,500","2,500","1.8","80,189","10,937,346,500","134,500","137,500","134,000","10,639,447,500,000","0.66","77,377,800","6,765,247","8.74",
31,068270,셀트리온,"89,600","-500","-0.6","268,366","24,124,441,300","90,400","90,400","89,600","10,447,210,099,200","0.65","116,598,327","29,532,911","25.33",
32,002790,아모레G,"120,500","1,500","1.3","64,437","7,715,770,500","120,000","120,500","118,500","9,936,210,690,000","0.62","82,458,180","15,742,820","19.09",
33,006400,삼성SDI,"137,000","4,000","3.0","172,151","23,359,887,000","134,500","137,000","133,500","9,420,740,610,000","0.59","68,764,530","26,136,892","38.01",
34,000030,우리은행,"13,800","50","0.4","1,050,135","14,367,622,100","13,700","13,800","13,550","9,328,800,000,000","0.58","676,000,000","172,080,353","25.46",
35,030200,KT,"31,400","250","0.8","635,184","20,614,507,156","31,200","31,550","31,200","8,198,910,771,200","0.51","261,111,808","127,944,785","49.00",
36,035250,강원랜드,"37,300","1,300","3.6","356,963","13,285,458,750","36,350","37,500","36,250","7,979,980,650,000","0.50","213,940,500","64,625,200","30.21",
37,036570,엔씨소프트,"358,500","21,000","6.2","616,917","216,486,864,500","341,500","358,500","341,000","7,861,554,387,000","0.49","21,929,022","9,038,717","41.22",
38,010130,고려아연,"413,500","-1,000","-0.2","37,250","15,425,949,500","416,500","416,500","411,500","7,802,745,000,000","0.49","18,870,000","3,464,378","18.36",
39,021240,코웨이,"100,500","2,400","2.4","154,090","15,271,517,785","98,500","100,500","97,600","7,598,680,782,000","0.47","75,608,764","41,230,283","54.53",
40,004020,현대제철,"53,500","-3,200","-5.6","1,098,685","59,152,544,800","56,300","56,300","53,000","7,139,349,497,500","0.45","133,445,785","33,841,502","25.36",
41,161390,한국타이어,"56,900","200","0.4","461,626","26,193,908,000","56,500","57,500","55,300","7,048,491,426,100","0.44","123,875,069","52,165,476","42.11",
42,023530,롯데쇼핑,"216,500","1,000","0.5","46,405","10,038,716,500","214,000","217,500","214,000","6,817,778,118,000","0.43","31,490,892","5,854,211","18.59",
43,024110,기업은행,"12,100","150","1.3","1,061,989","12,861,769,250","11,950","12,200","11,900","6,775,743,661,500","0.42","559,978,815","100,086,567","17.87",
44,139480,이마트,"234,500","-1,000","-0.4","98,075","22,930,925,000","238,000","238,000","231,000","6,536,879,555,500","0.41","27,875,819","14,041,750","50.37",
45,032640,LG유플러스,"14,300","350","2.5","1,471,183","21,041,641,900","14,100","14,500","14,050","6,243,542,462,300","0.39","436,611,361","193,150,970","44.24",
46,035720,카카오,"88,000","2,100","2.4","1,362,238","119,315,033,500","85,700","88,500","85,600","5,959,023,136,000","0.37","67,716,172","16,423,929","24.25",
47,006800,미래에셋대우,"8,660","50","0.6","2,292,584","19,808,172,860","8,640","8,710","8,570","5,770,300,093,280","0.36","666,316,408","81,546,755","12.24",
48,047810,한국항공우주,"57,100","200","0.4","337,118","19,311,426,100","57,600","57,700","56,900","5,565,828,609,700","0.35","97,475,107","23,984,619","24.61",
49,000720,현대건설,"49,750","0","0.0","316,928","15,620,374,900","49,900","49,950","48,400","5,539,949,308,750","0.35","111,355,765","34,676,803","31.14",
50,009240,한샘,"235,000","3,500","1.5","61,292","14,336,145,250","234,000","237,000","230,500","5,530,473,080,000","0.35","23,533,928","6,774,345","28.79",
51,078930,GS,"58,200","0","0.0","143,604","8,310,740,500","58,300","58,300","57,400","5,407,674,999,600","0.34","92,915,378","17,276,727","18.59",
52,086280,현대글로비스,"142,000","500","0.4","100,259","14,238,351,000","142,000","142,500","141,500","5,325,000,000,000","0.33","37,500,000","12,161,697","32.43",
53,088350,한화생명,"6,000","0","0.0","489,185","2,929,554,060","6,050","6,050","5,960","5,211,180,000,000","0.33","868,530,000","125,788,427","14.48",
54,027410,BGF리테일,"105,000","2,500","2.4","72,089","7,535,199,180","103,500","105,000","103,000","5,202,500,625,000","0.32","49,547,625","16,016,959","32.33",
55,009150,삼성전기,"69,200","0","0.0","395,851","27,207,967,700","69,400","69,700","68,300","5,168,803,763,200","0.32","74,693,696","13,553,187","18.15",
56,001040,CJ,"171,500","4,000","2.4","69,295","11,821,492,500","168,000","172,500","167,500","5,003,855,157,000","0.31","29,176,998","5,791,747","19.85",
57,005830,동부화재,"67,500","2,500","3.8","191,391","12,784,676,088","65,800","67,600","65,200","4,779,000,000,000","0.30","70,800,000","35,655,651","50.36",
58,018880,한온시스템,"8,840","60","0.7","539,168","4,762,707,180","8,870","8,880","8,790","4,718,792,000,000","0.29","533,800,000","104,977,116","19.67",
59,004800,효성,"132,500","0","0.0","63,517","8,389,101,500","133,500","133,500","131,500","4,653,062,787,500","0.29","35,117,455","9,323,006","26.55",
60,029780,삼성카드,"39,200","1,350","3.6","125,170","4,862,653,600","38,300","39,300","37,950","4,541,668,527,200","0.28","115,858,891","13,404,513","11.57",
61,097950,CJ제일제당,"340,500","5,500","1.6","44,070","14,906,866,000","337,000","342,000","335,000","4,482,681,819,000","0.28","13,164,998","3,195,087","24.27",
62,009830,한화케미칼,"25,750","-300","-1.2","855,742","22,205,362,200","26,000","26,300","25,600","4,243,840,994,250","0.27","164,809,359","42,520,612","25.80",
63,036460,한국가스공사,"45,800","-100","-0.2","132,956","6,147,284,900","46,150","46,500","45,600","4,227,935,400,000","0.26","92,313,000","11,999,307","13.00",
64,007070,GS리테일,"52,200","400","0.8","144,500","7,566,605,758","51,500","52,900","51,500","4,019,400,000,000","0.25","77,000,000","13,435,229","17.45",
65,010140,삼성중공업,"10,250","-250","-2.4","3,187,340","32,653,086,750","10,500","10,550","10,050","3,997,500,000,000","0.25","390,000,000","74,305,166","19.05",
66,001800,오리온,"641,000","-3,000","-0.5","17,679","11,301,518,000","640,000","643,000","629,000","3,851,406,835,000","0.24","6,008,435","2,541,872","42.31",
67,241560,두산밥캣,"37,450","100","0.3","157,608","5,883,017,600","37,150","37,500","37,150","3,754,331,266,700","0.23","100,249,166","22,150,216","22.10",
68,000120,CJ대한통운,"160,500","500","0.3","27,765","4,445,049,000","160,500","161,500","158,500","3,661,381,212,000","0.23","22,812,344","3,440,582","15.08",
69,008930,한미사이언스,"58,500","1,700","3.0","133,415","7,717,351,700","56,700","58,500","56,700","3,643,372,629,000","0.23","62,279,874","1,705,872","2.74",
70,005387,현대차2우B,"96,700","0","0.0","74,753","7,187,017,700","97,100","97,700","95,100","3,637,260,745,500","0.23","37,613,865","29,125,709","77.43",
71,002380,KCC,"341,500","4,500","1.3","20,464","6,931,438,500","336,000","342,500","335,500","3,605,049,189,500","0.23","10,556,513","1,745,128","16.53",
72,005940,NH투자증권,"12,300","300","2.5","957,451","11,647,045,100","12,050","12,300","11,950","3,461,329,310,100","0.22","281,408,887","36,769,463","13.07",
73,012750,에스원,"90,700","600","0.7","37,795","3,403,962,200","90,700","90,900","89,200","3,446,525,444,600","0.22","37,999,178","18,632,239","49.03",
74,128940,한미약품,"291,500","3,000","1.0","40,079","11,624,420,500","291,000","291,500","288,500","3,254,146,258,000","0.20","11,163,452","1,105,016","9.90",
75,130960,CJ E&M,"84,000","-2,000","-2.3","669,691","56,596,215,600","85,200","85,800","84,000","3,253,495,476,000","0.20","38,732,089","9,553,405","24.67",
76,012630,현대산업,"42,850","1,350","3.2","402,353","17,058,147,850","41,900","42,900","41,600","3,230,212,113,000","0.20","75,384,180","37,337,134","49.53",
77,011070,LG이노텍,"136,000","1,500","1.1","217,527","29,554,312,745","135,500","139,000","134,000","3,218,726,552,000","0.20","23,667,107","6,558,658","27.71",
78,001450,현대해상,"35,350","750","2.2","277,129","9,765,403,300","34,750","35,450","34,600","3,160,290,000,000","0.20","89,400,000","45,539,258","50.94",
79,016360,삼성증권,"33,400","500","1.5","254,996","8,465,119,850","32,900","33,400","32,750","2,982,620,000,000","0.19","89,300,000","17,563,941","19.67",
80,138930,BNK금융지주,"9,130","100","1.1","650,970","5,923,998,650","9,030","9,150","9,030","2,975,788,795,980","0.19","325,935,246","157,883,224","48.44",
81,042660,대우조선해양,"44,800","0","0.0","0","0","0","0","0","2,937,847,808,000","0.18","65,576,960","2,478,313","3.78",
