순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"2,490,000","40,000","1.6","205,566","512,556,399,349","2,480,000","2,509,000","2,470,000","319,682,370,060,000","16.55","128,386,494","67,023,732","52.20",2314
2,000660,SK하이닉스,"84,200","200","0.2","3,032,369","256,894,654,900","85,000","85,900","83,900","61,297,799,133,000","3.17","728,002,365","362,591,609","49.81",
3,207940,삼성바이오로직스,"570,000","5,000","0.9","303,825","170,032,697,000","556,000","571,000","544,000","37,714,050,000,000","1.95","66,165,000","6,879,247","10.40",
4,005935,삼성전자우,"2,038,000","0","0.0","21,876","44,759,285,000","2,049,000","2,059,000","2,034,000","36,831,918,040,000","1.91","18,072,580","15,003,628","83.02",
5,068270,셀트리온,"290,000","-8,500","-2.8","986,753","287,102,364,000","295,000","295,000","286,500","35,573,262,960,000","1.84","122,666,424","27,808,822","22.67",
6,005380,현대차,"150,500","-1,500","-1.0","425,396","64,004,061,000","151,500","152,000","149,500","33,151,610,089,500","1.72","220,276,479","101,826,917","46.23",
7,005490,POSCO,"327,500","6,000","1.9","209,612","68,890,516,500","325,000","332,500","324,500","28,553,688,462,500","1.48","87,186,835","49,959,996","57.30",
8,051910,LG화학,"373,000","-5,000","-1.3","146,231","54,597,825,000","376,500","377,000","370,500","26,330,943,939,000","1.36","70,592,343","28,362,324","40.18",
9,028260,삼성물산,"138,500","0","0.0","558,433","77,126,081,000","139,000","139,500","136,500","26,272,070,955,500","1.36","189,690,043","21,470,438","11.32",
10,035420,NAVER,"764,000","7,000","0.9","68,271","51,854,257,000","758,000","766,000","753,000","25,183,486,756,000","1.30","32,962,679","19,637,396","59.57",
11,105560,KB금융,"59,900","700","1.2","1,002,416","60,292,812,500","59,400","60,600","59,300","25,044,881,066,300","1.30","418,111,537","290,995,817","69.60",
12,012330,현대모비스,"250,000","-1,500","-0.6","133,074","33,396,705,500","251,500","253,000","249,500","24,335,965,750,000","1.26","97,343,863","47,282,427","48.57",
13,032830,삼성생명,"114,500","1,000","0.9","142,080","16,171,534,500","113,500","114,500","113,000","22,900,000,000,000","1.19","200,000,000","32,183,053","16.09",
14,015760,한국전력,"34,500","300","0.9","949,702","32,602,594,000","34,100","34,700","33,850","22,147,760,656,500","1.15","641,964,077","192,987,097","30.06",
15,055550,신한지주,"45,450","450","1.0","883,519","40,280,511,450","45,200","45,800","45,150","21,552,371,229,150","1.12","474,199,587","328,521,855","69.28",
16,034730,SK,"293,500","1,500","0.5","77,971","22,788,156,000","291,500","295,000","289,500","20,650,747,169,500","1.07","70,360,297","17,154,173","24.38",
17,051900,LG생활건강,"1,276,000","27,000","2.2","24,475","30,908,854,340","1,241,000","1,280,000","1,230,000","19,928,819,372,000","1.03","15,618,197","7,262,688","46.50",
18,090430,아모레퍼시픽,"335,000","11,500","3.6","155,129","51,401,507,500","325,000","335,000","320,000","19,583,594,150,000","1.01","58,458,490","19,795,833","33.86",
19,096770,SK이노베이션,"201,000","-3,500","-1.7","139,145","28,135,973,000","204,000","204,500","201,000","18,585,578,364,000","0.96","92,465,564","38,870,580","42.04",
20,018260,삼성에스디에스,"237,500","2,500","1.1","97,841","23,309,320,500","236,500","240,500","236,000","18,377,227,500,000","0.95","77,377,800","8,641,568","11.17",
21,017670,SK텔레콤,"224,000","-5,000","-2.2","438,740","98,123,245,184","226,500","227,500","222,000","18,087,039,264,000","0.94","80,745,711","32,621,254","40.40",
22,066570,LG전자,"106,500","0","0.0","517,401","55,359,385,000","108,000","108,500","106,000","17,428,492,191,000","0.90","163,647,814","56,650,454","34.62",
23,003550,LG,"84,500","-1,100","-1.3","286,563","24,302,410,900","85,800","86,500","83,900","14,581,077,569,500","0.75","172,557,131","56,945,387","33.00",
24,011170,롯데케미칼,"424,000","-4,000","-0.9","123,537","53,079,399,500","428,000","437,000","424,000","14,532,777,656,000","0.75","34,275,419","11,337,857","33.08",
25,033780,KT&G,"99,500","100","0.1","271,834","26,978,038,240","99,100","99,700","99,000","13,660,603,451,500","0.71","137,292,497","73,321,942","53.41",
26,006400,삼성SDI,"192,500","3,000","1.6","441,237","85,283,062,000","191,500","196,000","191,000","13,237,172,025,000","0.69","68,764,530","27,832,246","40.47",
27,091990,셀트리온헬스케어,"95,500","-3,000","-3.0","1,170,469","112,074,068,000","98,400","98,500","94,200","13,133,591,660,000","0.68","137,524,520","45,513,477","33.09",
28,010950,S-Oil,"116,000","-1,500","-1.3","197,305","22,952,043,000","117,000","118,000","115,500","13,059,603,872,000","0.68","112,582,792","86,963,594","77.24",
29,086790,하나금융지주,"43,450","550","1.3","1,570,855","69,013,702,475","43,100","44,500","43,100","13,045,517,593,900","0.68","300,242,062","216,488,762","72.10",
30,000270,기아차,"31,250","-400","-1.3","1,072,078","33,537,725,900","31,650","31,800","31,050","12,667,604,593,750","0.66","405,363,347","154,902,373","38.21",
31,000810,삼성화재,"264,500","1,000","0.4","39,089","10,317,679,500","263,500","265,000","263,000","12,530,644,386,500","0.65","47,374,837","24,221,509","51.13",
32,002790,아모레G,"147,000","7,000","5.0","107,349","15,583,045,000","140,500","147,500","140,000","12,121,352,460,000","0.63","82,458,180","17,024,487","20.65",
33,251270,넷마블게임즈,"138,500","1,000","0.7","179,732","24,788,257,000","137,500","139,500","136,500","11,776,348,915,000","0.61","85,027,790","22,338,004","26.27",
34,000030,우리은행,"15,150","650","4.5","3,570,277","53,933,808,900","14,600","15,300","14,600","10,241,400,000,000","0.53","676,000,000","177,815,796","26.30",
35,035720,카카오,"120,500","500","0.4","368,169","44,295,473,000","120,500","122,000","119,500","9,190,959,401,000","0.48","76,273,522","19,154,976","25.11",
36,034220,LG디스플레이,"24,950","-150","-0.6","1,138,162","28,604,744,600","25,400","25,650","24,900","8,927,501,715,000","0.46","357,815,700","94,779,431","26.49",
37,009540,현대중공업,"129,000","0","0.0","199,051","25,766,852,500","129,500","130,500","128,000","8,922,339,954,000","0.46","69,165,426","12,794,656","18.50",
38,024110,기업은행,"15,900","-50","-0.3","1,337,489","21,395,743,600","15,950","16,350","15,750","8,903,663,158,500","0.46","559,978,815","130,463,152","23.30",
39,009150,삼성전기,"118,500","3,000","2.6","1,841,133","219,005,308,000","118,500","120,500","116,500","8,851,202,976,000","0.46","74,693,696","17,675,063","23.66",
40,010130,고려아연,"451,000","-10,000","-2.2","31,007","14,014,040,784","455,000","459,000","450,500","8,510,370,000,000","0.44","18,870,000","4,711,663","24.97",
41,036570,엔씨소프트,"387,500","-7,000","-1.8","95,436","36,974,828,650","394,500","394,500","385,500","8,501,371,025,000","0.44","21,939,022","10,567,524","48.17",
42,139480,이마트,"280,000","3,500","1.3","56,282","15,709,620,500","275,000","281,500","275,000","7,805,229,320,000","0.40","27,875,819","13,743,452","49.30",
43,004990,롯데지주,"63,700","800","1.3","197,391","12,467,393,100","63,000","63,700","62,100","7,238,607,721,800","0.37","113,635,914","15,016,763","13.21",
44,023530,롯데쇼핑,"256,500","6,500","2.6","103,417","26,369,808,500","248,000","257,000","248,000","7,213,305,055,500","0.37","28,122,047","5,726,078","20.36",
