순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"392,000","5,500","1.4","841,868","333,041,966,000","391,000","400,000","391,000","59,110,570,232,000","17.79","150,792,271","86,664,406","57.47",1741
2,017670,SK텔레콤,"184,000","-3,000","-1.6","241,052","45,136,493,000","187,500","189,500","184,000","15,138,914,824,000","4.56","82,276,711","36,225,204","44.03",
3,015760,한국전력,"21,650","-350","-1.6","1,548,248","33,756,858,700","21,650","22,000","21,600","13,858,183,965,400","4.17","640,100,876","182,145,637","28.46",
4,030200,KT,"45,300","-400","-0.9","1,250,225","57,276,890,500","46,000","46,400","45,150","13,168,075,800,000","3.96","290,686,000","132,728,177","45.66",
5,060000,국민은행,"37,700","400","1.1","2,419,955","92,155,368,000","38,000","38,650","37,500","12,375,352,424,500","3.73","328,258,685","229,669,970","69.97",
6,005490,POSCO,"132,000","2,500","1.9","329,035","43,320,925,000","131,000","132,500","130,000","11,983,196,940,000","3.61","90,781,795","56,847,854","62.62",
7,066570,LG전자,"55,500","1,200","2.2","1,323,771","73,700,497,500","54,800","56,600","54,700","7,748,147,596,500","2.33","139,606,263","43,644,934","31.26",
8,005380,현대차,"33,100","250","0.8","1,380,140","45,957,763,000","33,300","33,750","32,850","7,251,836,036,200","2.18","219,088,702","104,836,901","47.85",
9,053000,우리금융,"6,020","-180","-2.9","1,380,598","8,466,471,760","6,210","6,270","6,020","4,668,539,558,200","1.41","775,504,910","31,262,444","4.03",
10,055550,신한지주,"15,600","-150","-1.0","841,298","13,239,002,300","15,750","16,000","15,350","4,560,833,550,000","1.37","292,361,125","145,936,613","49.92",
11,006400,삼성SDI,"97,000","2,500","2.6","431,925","41,983,033,000","95,600","98,100","94,800","4,509,196,029,000","1.36","46,486,557","14,764,404","31.76",
12,005935,삼성전자(1우),"192,000","5,500","3.0","71,414","13,714,523,000","190,000","194,500","190,000","4,497,297,984,000","1.35","23,423,427","16,532,737","70.58",
13,032390,KTF,"20,550","-300","-1.4","726,742","15,070,049,600","20,850","21,000","20,550","3,927,937,665,450","1.18","191,140,519","18,923,278","9.90",
14,033780,KT&G,"20,600","-300","-1.4","426,790","8,790,311,500","20,500","20,700","20,500","3,737,715,438,200","1.13","181,442,497","57,291,381","31.58",
15,000810,삼성화재,"64,400","1,400","2.2","319,230","20,183,204,000","63,000","64,400","62,600","3,194,551,502,800","0.96","49,604,837","25,791,685","51.99",
16,012330,현대모비스,"37,000","1,050","2.9","458,051","16,855,710,500","36,500","37,050","36,200","3,138,265,519,000","0.94","84,817,987","26,808,013","31.61",
17,002860,하나은행,"15,700","-100","-0.6","521,075","8,158,670,000","15,700","15,900","15,300","3,099,685,587,100","0.93","197,432,203","54,555,623","27.63",
18,004170,신세계,"203,500","0","0.0","74,080","15,121,450,000","203,000","206,000","203,000","3,024,111,750,000","0.91","14,860,500","6,882,713","46.32",
19,000660,하이닉스,"6,710","-130","-1.9","14,841,139","103,259,224,690","7,010","7,130","6,710","2,977,369,983,390","0.90","443,721,309","3,914,630","0.88",
20,051910,LG화학,"45,800","100","0.2","317,372","14,490,489,100","45,700","46,000","45,000","2,950,667,931,200","0.89","64,425,064","18,356,751","28.49",
21,000270,기아차,"8,000","-40","-0.5","1,117,367","9,032,701,200","8,100","8,160","8,000","2,877,843,640,000","0.87","359,730,455","107,337,887","29.84",
22,035250,강원랜드,"138,000","-4,000","-2.8","119,116","16,813,858,000","140,500","145,000","136,000","2,760,000,000,000","0.83","20,000,000","4,392,176","21.96",
23,009150,삼성전기,"35,300","0","0.0","712,781","25,615,640,300","35,800","36,450","35,300","2,636,687,468,800","0.79","74,693,696","18,369,216","24.59",
24,010950,S-Oil,"21,900","-1,300","-5.6","270,154","6,068,192,100","23,050","23,200","21,900","2,465,563,144,800","0.74","112,582,792","48,286,142","42.89",
25,000010,조흥은행,"3,350","-90","-2.6","1,709,606","5,860,302,700","3,440","3,500","3,350","2,275,046,737,150","0.68","679,118,429","14,630,514","2.15",
26,016830,한미은행,"11,000","250","2.3","829,189","9,302,026,500","11,050","11,450","10,950","2,233,734,415,000","0.67","203,066,765","177,713,770","87.51",
27,003550,LG,"8,300","-190","-2.2","1,187,792","10,096,165,300","8,550","8,650","8,300","2,203,421,824,700","0.66","265,472,509","20,581,218","7.75",
28,042660,대우조선해양,"11,400","-250","-2.2","756,450","8,893,301,000","11,700","12,150","11,400","2,193,254,641,200","0.66","192,390,758","68,300,416","35.50",
29,003600,SK,"17,050","400","2.4","1,398,220","23,705,137,000","17,000","17,250","16,450","2,164,375,115,100","0.65","126,942,822","56,624,821","44.61",
30,036460,한국가스공사,"27,850","-650","-2.3","157,376","4,433,962,600","28,100","28,750","27,700","2,152,373,603,500","0.65","77,284,510","8,422,596","10.90",
31,032710,LG카드,"18,000","-500","-2.7","612,554","11,360,566,500","19,000","19,050","18,000","2,142,000,000,000","0.64","119,000,000","59,275,682","49.81",
