순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"840,000","3,000","0.4","516,023","426,734,995,544","830,000","840,000","811,000","123,731,443,080,000","11.30","147,299,337","75,437,655","51.21",1964
2,005380,현대차,"211,000","0","0.0","816,923","172,745,518,000","208,000","214,000","208,000","46,478,337,069,000","4.24","220,276,479","91,525,571","41.55",
3,012330,현대모비스,"341,500","0","0.0","340,097","115,130,740,000","340,000","342,500","331,500","33,242,929,214,500","3.04","97,343,863","44,297,923","45.51",
4,005490,POSCO,"371,000","-6,000","-1.6","317,920","116,646,780,000","372,000","373,000","361,000","32,346,315,785,000","2.95","87,186,835","42,317,516","48.54",
5,000270,기아차,"71,900","0","0.0","2,472,425","177,651,833,200","71,600","72,300","71,200","28,745,462,826,600","2.62","399,797,814","111,411,343","27.87",
6,009540,현대중공업,"281,000","2,500","0.9","535,073","151,873,442,500","279,500","290,500","279,000","21,356,000,000,000","1.95","76,000,000","13,226,395","17.40",
7,051910,LG화학,"321,000","-4,000","-1.2","500,707","160,603,926,000","323,500","328,500","313,000","21,273,023,100,000","1.94","66,271,100","22,097,568","33.34",
8,055550,신한지주,"42,000","-50","-0.1","1,689,583","71,188,232,900","41,950","43,000","41,200","19,916,382,654,000","1.82","474,199,587","291,266,068","61.42",
9,032830,삼성생명,"90,800","300","0.3","294,430","26,534,373,700","89,700","91,800","88,900","18,160,000,000,000","1.66","200,000,000","13,634,585","6.82",
10,105560,KB금융,"40,350","-50","-0.1","2,746,947","109,970,725,850","39,900","40,850","39,350","15,589,290,812,550","1.42","386,351,693","243,186,823","62.94",
11,015760,한국전력,"21,050","50","0.2","905,758","18,978,244,400","21,050","21,150","20,700","13,513,343,820,850","1.23","641,964,077","156,204,846","24.33",
12,096770,SK이노베이션,"142,000","-1,000","-0.7","807,676","115,218,960,000","143,500","146,000","139,000","13,130,110,088,000","1.20","92,465,564","27,904,225","30.18",
