순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"2,548,000","80,000","3.2","179,709","453,635,894,717","2,478,000","2,548,000","2,475,000","328,942,962,712,000","17.37","129,098,494","68,089,226","52.74",2311
2,000660,SK하이닉스,"76,500","1,400","1.9","2,825,939","215,222,986,404","75,400","76,700","75,200","55,692,180,922,500","2.94","728,002,365","346,006,357","47.53",
3,005935,삼성전자우,"2,090,000","87,000","4.3","35,681","73,611,065,932","2,016,000","2,090,000","2,013,000","38,143,712,200,000","2.01","18,250,580","15,025,453","82.33",
4,005380,현대차,"156,000","-500","-0.3","405,259","62,441,858,940","154,500","156,000","152,000","34,363,130,724,000","1.81","220,276,479","99,505,115","45.17",
5,005490,POSCO,"332,500","-2,000","-0.6","164,553","54,519,432,508","335,000","335,000","329,000","28,989,622,637,500","1.53","87,186,835","48,812,941","55.99",
6,035420,NAVER,"870,000","-7,000","-0.8","65,370","56,705,863,764","880,000","881,000","860,000","28,677,530,730,000","1.51","32,962,679","19,664,587","59.66",
7,051910,LG화학,"405,000","10,500","2.7","169,517","68,358,962,775","396,500","407,000","395,000","28,589,898,915,000","1.51","70,592,343","28,501,082","40.37",
8,068270,셀트리온,"221,100","1,100","0.5","1,859,347","411,844,156,100","221,900","225,700","218,100","27,121,546,346,400","1.43","122,666,424","33,165,722","27.04",
9,105560,KB금융,"63,400","400","0.6","617,834","38,968,203,260","63,600","63,600","62,500","26,508,271,445,800","1.40","418,111,537","290,124,473","69.39",
10,012330,현대모비스,"263,000","-5,000","-1.9","185,069","48,519,180,512","265,500","267,500","259,000","25,601,435,969,000","1.35","97,343,863","46,669,485","47.94",
11,032830,삼성생명,"124,500","1,000","0.8","135,814","16,780,468,834","123,500","124,500","122,500","24,900,000,000,000","1.32","200,000,000","33,067,182","16.53",
12,207940,삼성바이오로직스,"371,000","5,000","1.4","181,010","67,135,602,500","369,500","373,500","367,000","24,547,215,000,000","1.30","66,165,000","5,649,210","8.54",
13,015760,한국전력,"38,150","-250","-0.6","782,254","29,786,788,498","38,300","38,350","38,000","24,490,929,537,550","1.29","641,964,077","197,822,161","30.82",
14,028260,삼성물산,"126,000","1,000","0.8","204,966","25,710,018,730","124,500","126,500","124,000","23,900,945,418,000","1.26","189,690,043","18,530,382","9.77",
15,055550,신한지주,"49,400","-100","-0.2","752,119","36,961,298,146","49,400","49,500","48,850","23,425,459,597,800","1.24","474,199,587","326,587,806","68.87",
16,017670,SK텔레콤,"267,000","-500","-0.2","114,283","30,573,798,032","268,500","269,000","265,500","21,559,104,837,000","1.14","80,745,711","33,450,432","41.43",
17,034730,SK,"283,000","4,000","1.4","93,028","26,023,033,140","281,000","284,000","276,000","19,911,964,051,000","1.05","70,360,297","16,850,062","23.95",
18,096770,SK이노베이션,"204,500","2,500","1.2","110,022","22,347,359,681","202,000","204,500","200,500","18,909,207,838,000","1.00","92,465,564","38,634,032","41.78",
19,051900,LG생활건강,"1,189,000","15,000","1.3","15,075","17,947,575,260","1,190,000","1,199,000","1,176,000","18,570,036,233,000","0.98","15,618,197","7,133,954","45.68",
20,090430,아모레퍼시픽,"304,500","2,500","0.8","81,715","24,899,296,700","302,000","307,000","300,000","17,800,610,205,000","0.94","58,458,490","20,046,026","34.29",
21,066570,LG전자,"106,000","-1,000","-0.9","822,274","88,002,408,468","107,000","109,500","105,000","17,346,668,284,000","0.92","163,647,814","54,912,357","33.56",
22,251270,넷마블게임즈,"188,500","-1,000","-0.5","147,604","28,136,278,464","190,500","193,500","186,500","16,027,473,572,500","0.85","85,026,385","23,081,593","27.15",
23,033780,KT&G,"115,500","500","0.4","203,544","23,286,517,115","115,500","115,500","113,000","15,857,283,403,500","0.84","137,292,497","72,982,766","53.16",
24,003550,LG,"91,000","800","0.9","106,393","9,665,638,442","90,300","91,300","89,500","15,702,698,921,000","0.83","172,557,131","53,648,902","31.09",
25,018260,삼성에스디에스,"200,000","4,000","2.0","62,913","12,433,629,550","196,000","200,000","194,500","15,475,560,000,000","0.82","77,377,800","7,760,242","10.03",
26,091990,셀트리온헬스케어,"108,600","1,000","0.9","2,369,291","258,402,147,792","107,600","111,900","106,100","14,914,952,737,800","0.79","137,338,423","52,374,958","38.14",
27,086790,하나금융지주,"49,800","-300","-0.6","403,626","20,026,412,320","50,000","50,000","49,300","14,740,952,487,600","0.78","296,003,062","219,135,393","74.03",
28,006400,삼성SDI,"204,500","7,000","3.5","263,440","53,435,297,400","196,500","205,500","196,500","14,062,346,385,000","0.74","68,764,530","28,661,907","41.68",
29,000270,기아차,"33,500","150","0.4","643,394","21,335,308,240","33,200","33,500","32,750","13,579,672,124,500","0.72","405,363,347","151,894,988","37.47",
30,010950,S-Oil,"117,000","-1,000","-0.8","328,500","38,425,988,428","118,000","118,000","116,000","13,172,186,664,000","0.70","112,582,792","86,327,904","76.68",
31,000810,삼성화재,"267,000","3,000","1.1","38,802","10,302,148,530","265,000","267,000","264,000","12,649,081,479,000","0.67","47,374,837","23,264,751","49.11",
32,011170,롯데케미칼,"368,000","5,500","1.5","43,002","15,735,522,176","362,500","368,500","360,000","12,613,354,192,000","0.67","34,275,419","10,969,187","32.00",
33,002790,아모레G,"141,000","2,000","1.4","31,616","4,438,323,840","140,000","141,000","138,000","11,626,603,380,000","0.61","82,458,180","17,330,398","21.02",
34,034220,LG디스플레이,"29,900","150","0.5","1,600,430","47,922,294,577","30,000","30,200","29,700","10,698,689,430,000","0.57","357,815,700","88,648,901","24.78",
