순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"901,000","19,000","2.2","332,860","295,639,846,000","887,000","901,000","880,000","132,716,702,637,000","10.25","147,299,337","74,896,274","50.85",1967
2,005380,현대차,"212,500","12,500","6.2","1,478,398","307,339,271,500","201,000","212,500","200,500","46,808,751,787,500","3.62","220,276,479","92,908,804","42.18",
3,005490,POSCO,"485,500","3,500","0.7","183,387","88,912,217,500","484,500","486,500","482,500","42,329,208,392,500","3.27","87,186,835","43,292,086","49.65",
4,009540,현대중공업,"535,000","7,000","1.3","215,129","113,200,106,000","525,000","535,000","518,000","40,660,000,000,000","3.14","76,000,000","15,093,393","19.86",
5,012330,현대모비스,"335,500","12,000","3.7","376,007","123,642,719,500","321,500","336,000","321,000","32,658,866,036,500","2.52","97,343,863","45,534,326","46.78",
6,051910,LG화학,"477,500","17,500","3.8","255,993","119,607,078,500","460,500","482,000","453,500","31,644,450,250,000","2.44","66,271,100","22,883,982","34.53",
7,000270,기아차,"73,500","3,200","4.6","3,439,067","248,137,996,200","70,000","73,600","70,000","29,287,350,666,000","2.26","398,467,356","115,229,619","28.92",
8,055550,신한지주,"48,550","600","1.2","1,610,120","77,682,593,450","48,150","48,600","47,950","23,022,389,948,850","1.78","474,199,587","280,465,097","59.14",
9,105560,KB금융,"56,700","100","0.2","1,690,014","95,085,483,700","56,800","57,100","55,700","21,906,140,993,100","1.69","386,351,693","218,641,941","56.59",
10,032830,삼성생명,"100,500","1,200","1.2","248,940","24,864,065,400","99,900","100,500","99,500","20,100,000,000,000","1.55","200,000,000","12,374,024","6.19",
11,096770,SK이노베이션,"212,500","1,500","0.7","920,163","191,027,308,500","209,000","213,000","202,000","19,648,932,350,000","1.52","92,465,564","29,201,814","31.58",
12,000660,하이닉스,"32,350","650","2.0","6,193,410","198,489,501,450","31,700","32,400","31,600","19,109,498,876,650","1.48","590,710,939","130,095,015","22.02",
13,015760,한국전력,"26,250","-100","-0.4","969,162","25,402,841,950","26,350","26,400","26,050","16,841,152,440,000","1.30","641,567,712","157,642,604","24.57",
14,010950,S-Oil,"148,000","500","0.3","726,149","105,060,010,500","145,000","148,500","141,500","16,662,253,216,000","1.29","112,582,792","51,253,293","45.52",
15,066570,LG전자,"102,500","1,000","1.0","706,345","71,793,869,000","101,500","102,500","100,500","14,826,400,935,000","1.15","144,647,814","48,950,831","33.84",
16,003550,LG,"85,500","300","0.4","639,148","54,040,009,700","84,500","86,000","83,000","14,753,634,700,500","1.14","172,557,131","54,025,472","31.31",
