순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"38,700","450","1.2","9,900,267","382,575,637,240","38,250","38,900","38,200","231,030,584,685,000","14.64","5,969,782,550","3,318,291,327","55.58",2380
2,000660,SK하이닉스,"60,500","-1,100","-1.8","1,647,462","100,586,317,600","61,700","62,300","60,500","44,044,143,082,500","2.79","728,002,365","352,111,920","48.37",
3,068270,셀트리온,"222,500","-500","-0.2","1,098,718","243,957,028,500","224,500","227,500","217,500","27,913,989,592,500","1.77","125,456,133","24,631,705","19.63",
4,005935,삼성전자우,"31,750","350","1.1","863,411","27,222,988,450","31,450","31,800","31,250","26,126,652,725,000","1.66","822,886,700","758,509,256","92.18",
5,207940,삼성바이오로직스,"386,500","15,500","4.2","256,133","99,632,653,500","377,000","396,000","377,000","25,572,772,500,000","1.62","66,165,000","5,709,584","8.63",
6,005380,현대차,"118,500","0","0.0","398,062","47,289,560,500","118,500","120,000","117,500","25,319,680,159,500","1.60","213,668,187","97,931,727","45.83",
7,051910,LG화학,"347,000","0","0.0","107,893","37,503,088,000","349,000","352,500","345,500","24,495,543,021,000","1.55","70,592,343","26,494,338","37.53",
8,017670,SK텔레콤,"269,500","3,500","1.3","163,072","43,987,800,500","265,500","273,000","262,500","21,760,969,114,500","1.38","80,745,711","33,778,425","41.83",
9,015760,한국전력,"33,100","600","1.8","1,229,000","40,846,690,500","32,350","33,800","32,350","21,249,010,948,700","1.35","641,964,077","177,711,515","27.68",
10,005490,POSCO,"243,000","1,500","0.6","130,754","31,720,146,000","244,000","245,000","241,000","21,186,400,905,000","1.34","87,186,835","47,474,875","54.45",
11,035420,NAVER,"122,000","-500","-0.4","322,665","39,344,095,000","122,500","123,000","120,500","20,107,234,190,000","1.27","164,813,395","97,733,252","59.30",
12,028260,삼성물산,"105,500","1,000","1.0","185,250","19,559,467,000","104,500","106,500","104,500","20,012,299,536,500","1.27","189,690,043","26,570,337","14.01",
13,105560,KB금융,"46,500","1,050","2.3","831,292","38,509,592,150","45,700","46,500","45,700","19,442,186,470,500","1.23","418,111,537","286,879,271","68.61",
14,055550,신한지주,"39,600","550","1.4","849,588","33,553,303,570","39,150","39,700","39,100","18,778,303,645,200","1.19","474,199,587","318,886,464","67.25",
15,012330,현대모비스,"190,000","1,500","0.8","143,178","27,299,667,500","188,500","192,500","188,500","18,495,333,970,000","1.17","97,343,863","46,226,241","47.49",
16,034730,SK,"260,000","2,000","0.8","63,169","16,353,312,000","258,500","261,000","257,500","18,293,677,220,000","1.16","70,360,297","18,142,220","25.78",
17,051900,LG생활건강,"1,101,000","20,000","1.8","23,839","26,229,171,000","1,082,000","1,111,000","1,077,000","17,195,634,897,000","1.09","15,618,197","6,993,137","44.78",
18,096770,SK이노베이션,"179,500","500","0.3","142,183","25,409,727,000","177,500","180,500","176,500","16,597,568,738,000","1.05","92,465,564","35,424,663","38.31",
19,032830,삼성생명,"81,600","100","0.1","149,932","12,230,283,100","81,500","82,000","81,300","16,320,000,000,000","1.03","200,000,000","32,372,345","16.19",
20,018260,삼성에스디에스,"204,000","5,500","2.8","87,178","17,886,437,500","201,500","207,500","201,000","15,785,071,200,000","1.00","77,377,800","9,668,483","12.50",
21,006400,삼성SDI,"219,000","-1,500","-0.7","195,928","42,832,057,500","221,000","223,000","216,000","15,059,432,070,000","0.95","68,764,530","26,300,928","38.25",
22,033780,KT&G,"101,500","0","0.0","290,632","29,441,941,500","101,500","102,500","100,500","13,935,188,445,500","0.88","137,292,497","71,150,364","51.82",
23,000270,기아차,"33,700","650","2.0","652,573","21,956,092,050","33,200","33,900","33,150","13,660,744,793,900","0.87","405,363,347","164,637,571","40.61",
24,000810,삼성화재,"269,000","1,000","0.4","57,623","15,457,808,500","268,500","270,000","266,000","12,743,831,153,000","0.81","47,374,837","23,376,525","49.34",
25,090430,아모레퍼시픽,"209,500","0","0.0","206,844","43,781,415,000","209,500","215,500","208,500","12,247,053,655,000","0.78","58,458,490","19,105,924","32.68",
26,003550,LG,"69,900","1,200","1.8","145,775","10,180,559,700","69,000","70,500","68,700","12,061,743,456,900","0.76","172,557,131","59,336,340","34.39",
27,010950,S-Oil,"97,700","-3,300","-3.3","552,703","54,218,490,100","100,000","100,500","97,200","10,999,338,778,400","0.70","112,582,792","88,561,508","78.66",
28,086790,하나금융지주,"36,250","550","1.5","656,104","23,696,685,400","35,850","36,300","35,700","10,883,774,747,500","0.69","300,242,062","209,407,827","69.75",
29,091990,셀트리온헬스케어,"75,300","-1,600","-2.1","1,311,185","99,740,749,500","77,300","78,700","74,000","10,581,649,139,700","0.67","140,526,549","43,604,435","31.03",
30,000030,우리은행,"15,600","-100","-0.6","1,406,627","22,041,475,700","15,700","15,850","15,550","10,545,600,000,000","0.67","676,000,000","186,560,873","27.60",
31,036570,엔씨소프트,"466,500","-17,500","-3.6","122,528","57,309,361,000","475,000","476,000","464,000","10,234,553,763,000","0.65","21,939,022","10,898,979","49.68",
32,066570,LG전자,"62,300","400","0.6","464,747","29,137,707,700","62,300","63,500","62,100","10,195,258,812,200","0.65","163,647,814","50,469,181","30.84",
33,251270,넷마블,"111,500","-3,500","-3.0","147,134","16,537,126,000","114,500","115,500","111,000","9,507,143,947,500","0.60","85,265,865","20,977,073","24.60",
34,011170,롯데케미칼,"277,000","-2,500","-0.9","101,456","28,111,030,500","281,000","283,500","274,000","9,494,291,063,000","0.60","34,275,419","10,746,230","31.35",
35,009540,현대중공업,"128,500","-1,000","-0.8","138,399","17,858,057,500","131,000","132,000","128,000","9,094,345,406,000","0.58","70,773,116","11,470,293","16.21",
36,035720,카카오,"103,000","1,500","1.5","190,847","19,689,078,500","101,000","104,500","101,000","8,588,940,619,000","0.54","83,387,773","20,617,081","24.72",
37,010130,고려아연,"432,500","-10,500","-2.4","31,179","13,563,403,000","441,500","442,000","431,500","8,161,275,000,000","0.52","18,870,000","4,178,177","22.14",
38,024110,기업은행,"14,050","0","0.0","1,530,971","21,471,581,400","14,050","14,200","13,900","7,867,702,350,750","0.50","559,978,815","129,454,878","23.12",
39,030200,KT,"29,800","200","0.7","633,383","18,877,567,886","29,550","30,050","29,350","7,781,131,878,400","0.49","261,111,808","127,944,786","49.00",
40,009150,삼성전기,"103,500","0","0.0","838,230","87,054,884,000","104,000","105,500","102,000","7,730,797,536,000","0.49","74,693,696","15,238,353","20.40",
41,032640,LG유플러스,"17,650","650","3.8","1,480,058","26,019,247,650","17,000","17,800","17,000","7,706,190,521,650","0.49","436,611,361","179,352,770","41.08",
42,035250,강원랜드,"32,000","50","0.2","282,674","9,057,964,100","32,000","32,400","31,900","6,846,096,000,000","0.43","213,940,500","58,786,802","27.48",
43,034220,LG디스플레이,"18,050","-150","-0.8","793,205","14,319,667,600","18,250","18,300","17,900","6,458,573,385,000","0.41","357,815,700","80,718,051","22.56",
44,004990,롯데지주,"52,700","0","0.0","106,052","5,593,072,700","52,600","53,300","52,200","6,143,040,689,900","0.39","116,566,237","14,173,569","12.16",
45,000720,현대건설,"54,600","900","1.7","749,644","41,201,596,500","53,300","55,900","53,300","6,080,024,769,000","0.39","111,355,765","27,177,984","24.41",
46,004020,현대제철,"45,250","-250","-0.6","168,719","7,673,949,950","45,650","46,150","45,000","6,038,421,771,250","0.38","133,445,785","33,907,892","25.41",
47,002790,아모레G,"72,700","600","0.8","149,492","11,009,130,900","71,900","74,600","71,900","5,994,709,686,000","0.38","82,458,180","16,900,990","20.50",
48,023530,롯데쇼핑,"211,000","-2,500","-1.2","41,099","8,693,073,000","214,000","214,500","210,500","5,968,927,305,000","0.38","28,288,755","5,939,239","21.00",
49,018880,한온시스템,"10,800","100","0.9","772,513","8,318,487,600","10,800","10,900","10,650","5,765,040,000,000","0.37","533,800,000","98,939,668","18.53",
50,267250,현대중공업지주,"346,000","-5,000","-1.4","46,619","16,258,905,500","352,000","358,500","346,000","5,635,169,482,000","0.36","16,286,617","3,366,523","20.67",
51,021240,코웨이,"74,100","600","0.8","139,065","10,335,982,900","73,900","75,800","73,700","5,468,551,767,900","0.35","73,799,619","46,239,820","62.66",
52,128940,한미약품,"464,000","13,500","3.0","45,776","21,180,733,500","455,000","470,500","455,000","5,282,960,624,000","0.33","11,385,691","1,482,989","13.03",
53,215600,신라젠,"73,500","600","0.8","1,110,865","81,330,087,500","73,600","74,500","72,100","5,131,551,925,500","0.33","69,817,033","5,677,220","8.13",
