순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"568,000","1,000","0.2","400,383","229,498,977,500","564,000","584,000","563,000","83,666,023,416,000","12.23","147,299,337","64,811,045","44.00",1983
2,005490,POSCO,"364,500","-3,500","-1.0","333,815","122,968,336,200","367,500","376,500","364,500","31,779,601,357,500","4.65","87,186,835","37,759,336","43.31",
3,015760,한국전력,"25,450","-50","-0.2","2,115,128","54,331,770,300","25,650","26,150","25,350","16,327,898,270,400","2.39","641,567,712","161,224,261","25.13",
4,017670,SK텔레콤,"192,000","-2,500","-1.3","248,605","47,899,405,000","195,000","195,000","191,000","15,503,176,512,000","2.27","80,745,711","37,102,143","45.95",
5,009540,현대중공업,"195,500","-2,500","-1.3","403,464","80,474,171,500","200,000","204,000","195,500","14,858,000,000,000","2.17","76,000,000","12,987,027","17.09",
6,066570,LG전자,"91,400","-200","-0.2","787,120","72,960,324,100","91,600","94,300","91,400","13,220,810,199,600","1.93","144,647,814","34,357,725","23.75",
7,005380,현대차,"55,500","2,500","4.7","2,899,897","161,336,954,000","54,400","56,700","53,900","12,225,344,584,500","1.79","220,276,479","56,695,519","25.74",
8,105560,KB금융,"32,950","-850","-2.5","3,147,540","106,329,003,750","34,000","34,600","32,950","11,741,788,284,350","1.72","356,351,693","199,574,628","56.00",
9,055550,신한지주,"24,600","300","1.2","6,268,897","155,727,384,920","24,750","25,400","24,450","11,665,309,840,200","1.71","474,199,587","190,853,782","40.25",
10,033780,KT&G,"76,100","600","0.8","529,626","40,200,280,100","76,200","76,200","75,400","10,562,109,021,700","1.54","138,792,497","70,765,211","50.99",
11,030200,KT,"38,500","-600","-1.5","1,485,303","57,947,464,750","39,200","39,550","38,500","10,531,124,450,000","1.54","273,535,700","97,784,715","35.75",
12,034220,LG디스플레이,"28,050","700","2.6","4,973,778","140,658,670,900","27,750","28,800","27,600","10,036,730,385,000","1.47","357,815,700","92,637,259","25.89",
13,003550,LG,"49,200","1,150","2.4","888,417","44,249,515,300","48,250","51,000","48,250","8,489,810,845,200","1.24","172,557,131","36,765,802","21.31",
14,096770,SK에너지,"88,500","500","0.6","355,289","31,586,833,600","88,000","90,300","87,500","8,183,202,414,000","1.20","92,465,564","25,053,029","27.09",
15,004170,신세계,"430,500","3,500","0.8","172,429","71,682,788,500","434,000","434,000","424,000","8,119,445,250,000","1.19","18,860,500","7,911,934","41.95",
16,000810,삼성화재,"160,000","-500","-0.3","176,530","28,561,775,000","161,000","165,000","157,500","7,579,973,920,000","1.11","47,374,837","23,889,987","50.43",
17,035420,NHN,"151,000","-6,500","-4.1","472,149","73,196,944,500","157,000","159,500","151,000","7,267,283,304,000","1.06","48,127,704","22,702,160","47.17",
18,005935,삼성전자우,"315,500","-5,500","-1.7","36,415","11,648,098,000","320,000","325,000","315,500","7,203,946,218,500","1.05","22,833,427","18,221,301","79.80",
19,034020,두산중공업,"68,000","1,300","2.0","1,487,547","102,880,693,700","68,500","70,500","67,800","7,136,824,400,000","1.04","104,953,300","7,161,153","6.82",
20,012330,현대모비스,"79,600","1,200","1.5","783,846","62,916,027,700","79,600","81,800","79,000","6,972,244,157,200","1.02","87,591,007","34,124,839","38.96",
21,051910,LG화학,"90,000","0","0.0","0","0","0","0","0","6,771,489,300,000","0.99","75,238,770","16,423,717","21.83",
22,000720,현대건설,"59,000","2,300","4.1","767,420","45,176,526,000","58,100","59,700","57,700","6,549,568,819,000","0.96","111,009,641","11,981,902","10.79",
23,000660,하이닉스,"12,350","-50","-0.4","30,767,790","376,735,956,200","12,550","12,600","11,900","6,417,319,967,500","0.94","519,621,050","68,379,348","13.16",
24,010950,S-Oil,"56,300","-1,000","-1.8","227,232","12,980,886,100","57,000","58,500","56,300","6,338,411,189,600","0.93","112,582,792","51,329,157","45.59",
25,000830,삼성물산,"39,750","700","1.8","994,380","39,668,778,150","39,750","40,300","39,400","6,209,656,119,000","0.91","156,217,764","24,900,136","15.94",
26,010140,삼성중공업,"25,600","250","1.0","2,332,354","60,208,969,750","25,700","26,250","25,600","5,910,409,881,600","0.86","230,875,386","48,624,979","21.06",
27,053000,우리금융,"7,020","0","0.0","6,777,876","48,362,208,750","7,100","7,240","7,020","5,658,227,686,800","0.83","806,015,340","61,966,981","7.69",
28,023530,롯데쇼핑,"190,500","-5,000","-2.6","84,116","16,389,814,000","197,000","200,000","190,500","5,532,762,747,000","0.81","29,043,374","4,862,830","16.74",
29,032390,KTF,"27,700","-150","-0.5","512,099","14,216,931,100","27,700","28,050","27,550","5,215,192,320,700","0.76","188,274,091","48,290,736","25.65",
30,003600,SK,"107,500","1,000","0.9","442,132","48,205,994,896","107,000","112,000","106,500","5,048,394,790,000","0.74","46,961,812","13,165,071","28.03",
31,086790,하나금융지주,"20,800","50","0.2","3,122,679","66,011,090,600","21,250","21,650","20,700","4,406,513,134,400","0.64","211,851,593","126,308,033","59.62",
