순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,030200,한국통신공사,"179,000","2,000","1.1","4,231,493","798,435,017,000","184,000","199,000","179,000","55,883,738,961,000","56.62","312,199,659","15,609,982","5.00",1390
2,005930,삼성전자,"266,000","5,000","1.9","1,481,697","391,933,362,000","260,000","278,000","252,500","39,857,114,682,000","40.38","149,838,777","70,559,230","47.09",
3,032390,한통프리텔,"284,500","7,500","2.7","1,644,058","490,399,290,500","300,000","309,500","281,000","37,426,448,977,000","37.92","131,551,666","13,313,927","10.12",
4,017670,SK텔레콤,"4,070,000","0","0.0","32,398","132,929,600,000","4,070,000","4,300,000","3,800,000","33,926,604,250,000","34.37","8,335,775","2,638,603","31.65",
5,015760,한국전력,"35,200","2,300","7.0","2,669,530","89,768,273,500","32,900","35,400","32,100","22,524,168,304,000","22.82","639,891,145","143,199,855","22.38",
6,015940,데 이 콤,"585,000","-16,000","-2.7","254,379","162,389,165,000","610,000","685,000","570,000","14,006,655,000,000","14.19","23,943,000","2,701,641","11.28",
7,005490,포항제철,"125,000","6,500","5.5","3,791,865","471,232,110,000","118,500","125,000","118,500","12,060,078,125,000","12.22","96,480,625","28,944,187","30.00",
8,000660,현대전자,"24,100","1,150","5.0","9,383,380","216,149,028,500","23,000","24,100","21,850","8,409,330,029,600","8.52","348,934,856","39,824,314","11.41",
9,022875,평화은행우선,"166,000","0","0.0","0","0","0","0","0","7,304,000,000,000","7.40","44,000,000","0","0.00",
10,030700,한통엠닷컴,"45,200","4,800","11.9","216,020","9,764,104,000","45,200","45,200","45,200","7,084,364,008,400","7.18","156,733,717","54,782,488","34.95",
11,011650,LG정보,"188,000","21,500","12.9","1,244,575","227,978,470,000","170,000","191,000","169,000","5,809,200,000,000","5.89","30,900,000","3,857,157","12.48",
12,009150,삼성전기,"75,500","2,000","2.7","730,641","54,298,332,500","73,400","81,000","70,100","5,629,346,666,500","5.70","74,560,883","22,356,139","29.98",
13,023130,국민은행,"17,800","2,300","14.8","3,642,630","62,185,416,000","16,500","17,800","16,100","5,333,118,751,400","5.40","299,613,413","151,238,840","50.48",
14,002610,LG전자,"47,000","4,500","10.6","2,446,160","110,218,253,000","43,100","47,450","42,500","5,044,400,302,000","5.11","107,327,666","20,056,837","18.69",
15,033780,담배인삼공사,"25,100","2,100","9.1","487,570","11,114,303,000","22,600","25,100","21,600","4,793,896,614,700","4.86","190,991,897","5,361,757","2.81",
16,033630,하나로통신,"19,650","2,100","12.0","607,673","11,940,774,450","19,650","19,650","19,650","4,716,000,000,000","4.78","240,000,000","5,808,013","2.42",
17,005935,삼성전자(1우),"177,000","7,500","4.4","459,764","80,015,103,000","167,000","183,000","163,000","4,229,136,579,000","4.28","23,893,427","8,599,004","35.99",
18,005380,현 대 차,"18,000","-450","-2.4","1,994,910","35,570,586,500","18,100","18,450","17,300","3,752,472,636,000","3.80","208,470,702","62,344,425","29.91",
19,027460,주택은행,"36,000","3,300","10.1","796,470","28,044,630,000","33,000","37,000","32,800","3,569,319,972,000","3.62","99,147,777","65,549,046","66.11",
20,003550,LG화학,"35,900","1,700","5.0","959,440","33,598,888,000","33,500","35,950","33,400","3,504,333,050,600","3.55","97,613,734","34,112,671","34.95",
21,000030,한빛은행,"3,840","160","4.4","2,719,530","10,034,721,250","3,650","3,840","3,550","3,358,089,031,680","3.40","874,502,352","142,286,733","16.27",
22,000270,기 아 차,"7,100","180","2.6","519,300","3,562,101,200","7,000","7,100","6,680","3,191,126,964,200","3.23","449,454,502","29,633,117","6.59",
23,003600,SK,"34,400","100","0.3","848,760","29,089,045,000","34,300","34,750","33,500","3,086,294,521,600","3.13","89,717,864","20,852,532","23.24",
24,015580,신한은행,"12,300","1,600","15.0","2,177,330","25,118,421,500","10,850","12,300","10,700","3,021,952,510,800","3.06","245,687,196","103,129,584","41.98",
25,035610,새롬기술,"242,000","25,500","11.8","364,070","88,045,418,000","242,000","242,000","235,000","2,904,000,000,000","2.94","12,000,000","369,782","3.08",
26,000830,삼성물산,"17,000","-500","-2.9","3,183,080","54,378,908,500","17,500","17,650","16,750","2,642,403,976,000","2.68","155,435,528","30,478,285","19.61",
27,016360,삼성증권,"34,400","200","0.6","2,391,450","81,584,663,500","33,800","35,500","33,150","2,638,782,066,400","2.67","76,708,781","14,911,119","19.44",
28,030520,한글과컴퓨터,"52,600","5,600","11.9","2,758,642","142,290,456,800","48,100","52,600","48,000","2,526,725,475,600","2.56","48,036,606","6,429,200","13.38",
29,000010,조흥은행,"3,700","220","6.3","1,113,980","3,962,578,300","3,480","3,700","3,410","2,512,589,025,500","2.55","679,078,115","4,685,298","0.69",
30,009540,현대중공업,"43,000","2,000","4.9","614,210","25,546,051,000","40,300","43,400","39,150","2,373,600,000,000","2.40","55,200,000","1,186,666","2.15",
31,035720,다음,"386,500","41,000","11.9","179,437","68,363,857,500","365,500","386,500","356,000","2,319,019,325,000","2.35","6,000,050","336,285","5.60",
32,001040,제일제당,"131,000","14,000","12.0","149,575","18,416,085,000","118,000","131,000","117,000","2,305,029,102,000","2.34","17,595,642","4,617,065","26.24",
33,036460,한국가스공사,"29,700","500","1.7","677,370","19,812,483,000","29,200","29,700","29,200","2,295,349,947,000","2.33","77,284,510","50,747","0.07",
34,003450,현대증권,"22,200","-300","-1.3","3,392,050","75,979,249,500","22,100","23,450","21,700","2,223,199,619,400","2.25","100,144,127","3,857,470","3.85",
35,006400,삼성SDI,"47,200","-100","-0.2","506,062","23,776,246,400","47,000","48,200","46,000","2,189,689,986,400","2.22","46,391,737","14,614,490","31.50",
36,014900,삼보컴퓨터,"126,000","-9,000","-6.7","673,203","88,844,093,000","135,000","139,500","126,000","1,964,826,486,000","1.99","15,593,861","3,138,944","20.13",
37,004940,외환은행,"4,350","460","11.8","3,223,140","13,360,055,250","3,900","4,350","3,900","1,932,921,904,050","1.96","444,349,863","147,219,547","33.13",
38,024110,기업은행,"4,930","130","2.7","88,031","422,802,050","4,650","5,100","4,560","1,897,738,917,000","1.92","384,936,900","0","0.00",
39,034600,로커스,"199,000","21,000","11.8","434,232","86,198,663,500","199,000","199,000","192,000","1,832,421,452,000","1.86","9,208,148","1,085","0.01",
40,005940,LG투자증권,"19,300","-300","-1.5","2,555,350","49,821,166,500","19,400","20,350","19,000","1,785,295,258,500","1.81","92,502,345","6,083,522","6.58",
41,010950,쌍용정유,"29,900","-100","-0.3","413,270","12,143,524,500","29,850","30,400","28,500","1,683,112,740,400","1.71","56,291,396","28,773,437","51.12",
42,004945,외환은행(1우B),"30,700","0","0.0","0","0","0","0","0","1,596,400,000,000","1.62","52,000,000","52,000,000","100.00",
43,015585,신한은행(1우C),"25,300","0","0.0","0","0","0","0","0","1,480,050,000,000","1.50","58,500,000","0","0.00",
44,001510,SK증권,"5,160","-10","-0.2","1,736,870","8,741,428,450","5,100","5,290","4,900","1,383,484,602,360","1.40","268,117,171","39,133,982","14.60",
45,006800,대우증권,"12,850","-350","-2.6","1,618,080","20,824,343,500","12,700","13,700","12,500","1,379,988,099,500","1.40","107,392,070","16,775,293","15.62",
46,036030,한통하이텔,"39,300","4,200","12.0","775","30,457,500","39,300","39,300","39,300","1,355,850,000,000","1.37","34,500,000","0","0.00",
47,000810,삼성화재,"36,200","0","0.0","268,910","9,781,713,500","35,800","37,400","35,000","1,327,019,600,000","1.34","36,658,000","10,235,816","27.92",
48,000720,현대건설,"5,500","-70","-1.3","3,333,200","18,042,808,100","5,540","5,580","5,300","1,314,925,221,500","1.33","239,077,313","11,435,622","4.78",
49,023590,다우기술,"39,500","1,500","4.0","2,468,190","95,634,915,500","37,500","39,800","37,300","1,303,500,000,000","1.32","33,000,000","7,434,808","22.53",
50,010140,삼성중공업,"5,490","-20","-0.4","3,380,760","18,079,097,600","5,450","5,500","5,210","1,267,449,020,190","1.28","230,865,031","21,607,385","9.36",
51,032380,핸디소프트,"931,000","99,000","11.9","7,106","6,615,686,000","931,000","931,000","931,000","1,228,920,000,000","1.25","1,320,000","11,291","0.86",
52,033030,대양이앤씨,"32,250","3,450","12.0","1,042,950","33,627,869,400","32,250","32,250","31,700","1,161,000,000,000","1.18","36,000,000","7,930","0.02",
53,034120,SBS,"55,000","-6,000","-9.8","153,197","9,038,668,900","60,000","63,500","54,700","1,116,500,000,000","1.13","20,300,000","0","0.00",
54,020560,아시아나항공,"5,900","90","1.6","8,837,898","50,372,209,710","5,130","6,200","5,130","1,003,000,000,000","1.02","170,000,000","14,071,783","8.28",
55,007360,하나은행,"8,850","850","10.6","2,117,360","17,653,056,000","8,110","8,850","7,960","974,944,143,000","0.99","110,163,180","26,797,357","24.33",
56,025560,미래산업,"8,830","-440","-4.8","2,664,470","24,278,271,700","9,300","9,390","8,800","968,540,625,000","0.98","109,687,500","18,447,899","16.82",
57,013781,아큐텍반도1,"87,100","9,300","12.0","0","0","0","0","0","967,777,681,000","0.98","11,111,110","0","0.00",
58,009830,한화석화,"9,990","1,280","14.7","1,344,810","12,559,592,900","8,900","9,990","8,760","937,764,916,380","0.95","93,870,362","22,358,997","23.82",
59,012450,삼성항공,"10,800","-650","-5.7","2,302,560","26,017,825,500","11,000","11,950","10,700","923,400,000,000","0.94","85,500,000","1,549,209","1.81",
60,025770,한국정보통신,"81,700","-11,100","-12.0","350,741","29,586,798,200","90,100","91,800","81,700","910,955,000,000","0.92","11,150,000","497,131","4.46",
61,000110,제일은행,"2,645","0","0.0","0","0","0","0","0","846,400,000,000","0.86","320,000,000","0","0.00",
62,016830,한미은행,"8,600","450","5.5","786,200","6,621,716,800","8,150","8,890","8,020","839,934,179,000","0.85","97,666,765","29,972,413","30.69",
63,036930,주성엔지니어,"50,500","5,400","12.0","92","4,646,000","50,500","50,500","50,500","814,060,000,000","0.82","16,120,000","0","0.00",
64,003490,대한항공,"12,850","1,650","14.7","2,871,900","31,142,749,700","10,900","12,850","9,910","804,917,832,000","0.82","62,639,520","8,737,483","13.95",
65,004170,신 세 계,"57,400","900","1.6","258,768","14,642,076,200","55,900","58,500","54,300","796,757,633,000","0.81","13,880,795","3,389,610","24.42",
66,036060,한강기금,"123,000","-1,000","-0.8","143,710","17,107,680,000","118,000","123,000","112,000","778,959,000,000","0.79","6,333,000","93,778","1.48",
67,008670,굿모닝증권,"5,430","-240","-4.2","2,672,260","14,691,680,500","5,510","5,850","5,300","758,601,663,210","0.77","139,705,647","60,166,810","43.07",
68,001740,SK상사,"18,500","-1,900","-9.3","834,300","16,412,234,000","20,400","20,600","18,500","733,171,650,000","0.74","39,630,900","1,903,699","4.80",
69,003540,대신증권,"14,900","-100","-0.7","1,781,170","26,558,697,000","14,800","15,750","14,400","726,917,360,000","0.74","48,786,400","1,996,898","4.09",
70,012750,에 스 원,"19,600","-1,300","-6.2","1,385,667","27,183,200,200","20,500","20,800","18,800","715,400,000,000","0.72","36,500,000","16,403,560","44.94",
71,009180,한솔CSN,"14,050","-1,450","-9.4","4,678,130","68,728,846,500","15,000","15,850","13,700","670,553,320,750","0.68","47,726,215","2,900,737","6.08",
72,006260,LG전선,"20,700","2,700","15.0","402,830","7,373,578,500","18,000","20,700","17,200","666,540,000,000","0.68","32,200,000","5,862,114","18.21",
73,030210,종합기술금융,"11,000","-1,400","-11.3","3,161,460","36,347,133,000","11,800","12,400","11,000","663,455,012,000","0.67","60,314,092","7,673,318","12.72",
74,000210,대림산업,"13,050","-50","-0.4","694,600","9,044,329,000","13,400","13,500","12,500","662,835,247,650","0.67","50,791,973","6,060,593","11.93",
75,005890,동원증권,"24,500","1,300","5.6","288,040","6,741,360,500","23,200","24,500","22,700","662,799,039,000","0.67","27,053,022","8,328,942","30.79",
76,017300,코데이터,"13,000","-1,100","-7.8","1,935,780","26,062,041,500","14,500","14,600","12,750","651,284,166,000","0.66","50,098,782","4,476,885","8.94",
77,033130,디지틀조선,"227,000","-27,000","-10.6","181,982","44,184,431,500","254,000","262,000","224,000","629,922,276,000","0.64","2,774,988","190,292","6.86",
78,012630,현대산업,"8,400","-60","-0.7","810,990","6,650,461,300","8,400","8,550","8,010","623,222,712,000","0.63","74,193,180","11,120,419","14.99",
79,008060,대덕전자,"13,500","-2,300","-14.6","1,042,580","15,100,901,500","15,450","15,450","13,500","604,592,275,500","0.61","44,784,613","6,076,384","13.57",
80,035430,드림라인,"39,350","4,200","12.0","149","5,863,150","39,350","39,350","39,350","590,250,000,000","0.60","15,000,000","139","0.00",
81,037460,삼지전자,"46,800","5,000","12.0","29,121","1,362,862,800","46,800","46,800","46,800","585,000,000,000","0.59","12,500,000","0","0.00",
82,035760,CJ39쇼핑,"69,600","-9,400","-11.9","552,115","38,808,792,000","70,000","76,000","69,600","573,773,421,600","0.58","8,243,871","914,946","11.10",
83,000880,한    화,"7,900","200","2.6","890,310","6,852,176,800","7,650","7,950","7,210","558,258,003,000","0.57","70,665,570","6,511,354","9.21",
84,000147,하이트맥주(2우B),"92,900","0","0.0","0","0","0","0","0","551,697,240,600","0.56","5,938,614","5,938,614","100.00",
85,010130,고려아연,"28,750","3,750","15.0","48,410","1,271,462,500","26,000","28,750","23,200","542,512,500,000","0.55","18,870,000","3,367,889","17.85",
86,011200,현대상선,"7,410","0","0.0","834,390","6,006,485,200","7,390","7,410","7,010","541,276,832,460","0.55","73,046,806","3,905,961","5.35",
87,010120,LG산전,"4,100","305","8.0","388,560","1,542,792,200","3,800","4,190","3,800","531,464,902,600","0.54","129,625,586","2,064,660","1.59",
88,018880,한라공조,"48,500","500","1.0","18,740","889,421,500","45,300","49,800","43,100","517,786,000,000","0.52","10,676,000","8,936,082","83.70",
89,011170,호남석유,"15,900","-200","-1.2","84,150","1,288,924,000","16,000","16,250","15,050","506,574,000,000","0.51","31,860,000","12,135,061","38.09",
90,036020,한아시스템,"41,400","4,400","11.9","303,163","12,550,948,200","41,400","41,400","41,400","496,800,000,000","0.50","12,000,000","1,990","0.02",
91,025930,팬    택,"25,500","-1,700","-6.2","489,100","13,063,051,000","26,600","28,100","25,500","495,719,974,500","0.50","19,439,999","8,201,719","42.19",
92,004800,효성,"18,500","1,800","10.8","272,110","4,533,851,500","16,100","18,500","15,550","489,114,507,000","0.50","26,438,622","2,592,664","9.81",
