순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"46,450","-1,050","-2.2","11,270,515","526,127,504,500","47,250","47,250","46,300","298,177,632,315,000","16.14","6,419,324,700","3,374,874,038","52.57",2338
2,000660,SK하이닉스,"73,100","-1,900","-2.5","5,824,873","432,567,189,665","75,300","75,900","73,100","53,216,972,881,500","2.88","728,002,365","352,934,981","48.48",
3,068270,셀트리온,"297,000","-4,000","-1.3","598,765","178,749,322,000","302,000","304,500","293,000","37,242,583,191,000","2.02","125,395,903","28,076,737","22.39",
4,207940,삼성바이오로직스,"534,000","-12,000","-2.2","220,738","118,294,395,000","549,000","550,000","526,000","35,332,110,000,000","1.91","66,165,000","6,500,074","9.82",
5,005935,삼성전자우,"37,850","-550","-1.4","2,268,872","85,757,483,956","38,400","38,450","36,950","34,202,357,650,000","1.85","903,629,000","760,905,504","84.21",
6,005380,현대차,"129,500","-1,000","-0.8","295,867","38,228,234,000","130,000","130,500","128,000","27,670,030,216,500","1.50","213,668,187","98,667,918","46.18",
7,051910,LG화학,"365,500","-4,500","-1.2","188,182","69,483,768,500","370,500","373,000","365,000","25,801,501,366,500","1.40","70,592,343","26,474,276","37.50",
8,005490,POSCO,"294,500","-11,000","-3.6","356,038","105,479,638,500","304,000","304,000","294,000","25,676,522,907,500","1.39","87,186,835","48,225,226","55.31",
9,028260,삼성물산,"129,500","-1,500","-1.2","1,150,059","149,118,022,000","130,500","131,000","129,000","24,564,860,568,500","1.33","189,690,043","27,538,603","14.52",
10,035420,NAVER,"716,000","3,000","0.4","97,465","69,719,231,448","717,000","719,000","713,000","23,601,278,164,000","1.28","32,962,679","20,085,368","60.93",
11,017670,SK텔레콤,"282,000","7,000","2.6","239,286","67,415,639,250","275,500","284,000","275,000","22,770,290,502,000","1.23","80,745,711","34,505,694","42.73",
12,105560,KB금융,"54,200","500","0.9","1,204,322","65,290,422,600","54,100","54,500","53,600","22,661,645,305,400","1.23","418,111,537","294,059,976","70.33",
13,012330,현대모비스,"228,000","500","0.2","193,492","44,114,500,500","227,000","229,500","226,000","22,194,400,764,000","1.20","97,343,863","47,313,722","48.60",
14,055550,신한지주,"45,000","400","0.9","1,165,805","52,393,561,936","44,600","45,150","44,300","21,338,981,415,000","1.15","474,199,587","327,900,061","69.15",
15,034730,SK,"287,000","4,500","1.6","79,736","22,804,754,500","284,000","288,500","281,000","20,193,405,239,000","1.09","70,360,297","18,067,716","25.68",
16,051900,LG생활건강,"1,276,000","-2,000","-0.2","26,707","34,328,547,991","1,274,000","1,298,000","1,271,000","19,928,819,372,000","1.08","15,618,197","7,162,570","45.86",
17,096770,SK이노베이션,"215,000","6,500","3.1","446,684","96,133,001,000","211,500","219,500","208,500","19,880,096,260,000","1.08","92,465,564","36,959,885","39.97",
18,032830,삼성생명,"97,300","1,300","1.4","205,720","19,936,071,300","96,000","97,400","95,700","19,460,000,000,000","1.05","200,000,000","32,595,602","16.30",
19,015760,한국전력,"29,350","400","1.4","1,066,469","31,239,396,950","29,050","29,400","29,050","18,841,645,659,950","1.02","641,964,077","178,798,211","27.85",
20,018260,삼성에스디에스,"231,000","1,000","0.4","69,037","15,902,043,500","231,000","231,000","227,000","17,874,271,800,000","0.97","77,377,800","9,831,595","12.71",
21,006400,삼성SDI,"258,500","-2,500","-1.0","335,811","86,722,449,288","261,500","262,000","254,500","17,775,631,005,000","0.96","68,764,530","26,761,309","38.92",
22,010950,S-Oil,"137,000","1,000","0.7","352,948","47,993,157,500","136,500","137,000","135,000","15,423,842,504,000","0.83","112,582,792","88,371,689","78.49",
23,090430,아모레퍼시픽,"261,000","6,000","2.4","225,215","58,528,907,025","256,000","262,000","255,500","15,257,665,890,000","0.83","58,458,490","20,242,903","34.63",
24,033780,KT&G,"104,000","0","0.0","226,512","23,500,035,500","104,500","105,000","103,000","14,278,419,688,000","0.77","137,292,497","74,253,144","54.08",
25,000270,기아차,"35,100","-150","-0.4","1,119,501","39,264,288,350","35,250","35,450","34,750","14,228,253,479,700","0.77","405,363,347","164,690,146","40.63",
26,000810,삼성화재,"284,000","11,500","4.2","229,368","64,401,261,850","274,000","285,000","273,500","13,454,453,708,000","0.73","47,374,837","23,873,976","50.39",
27,086790,하나금융지주,"44,550","1,150","2.6","1,199,270","53,135,422,400","43,650","44,600","43,350","13,375,783,862,100","0.72","300,242,062","213,950,821","71.26",
