순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"799,000","13,000","1.6","295,625","234,828,617,000","788,000","799,000","787,000","117,692,170,263,000","12.08","147,299,337","70,273,139","47.71",1961
2,005490,POSCO,"618,000","4,000","0.6","138,474","84,868,821,000","615,000","619,000","605,000","53,881,464,030,000","5.53","87,186,835","43,687,856","50.11",
3,005380,현대차,"121,000","500","0.4","800,861","96,241,691,500","121,500","122,000","119,000","26,653,453,959,000","2.74","220,276,479","80,173,599","36.40",
4,105560,KB금융,"59,700","200","0.3","1,118,610","66,193,126,300","58,200","59,700","58,100","23,065,196,072,100","2.37","386,351,693","227,759,347","58.95",
5,015760,한국전력,"34,100","100","0.3","2,232,855","75,940,262,750","34,200","34,250","33,800","21,877,458,979,200","2.25","641,567,712","163,343,822","25.46",
6,055550,신한지주,"43,200","-600","-1.4","1,768,480","76,262,802,500","43,000","43,500","42,700","20,485,422,158,400","2.10","474,199,587","273,333,039","57.64",
7,066570,LG전자,"121,500","2,000","1.7","472,623","57,262,368,000","121,000","122,000","120,000","17,574,709,401,000","1.80","144,647,814","42,472,287","29.36",
8,012330,현대모비스,"171,000","2,500","1.5","390,413","66,095,927,000","168,000","171,000","166,000","16,645,800,573,000","1.71","97,343,863","34,961,383","35.92",
9,051910,LG화학,"228,500","4,500","2.0","361,388","81,550,144,500","222,500","228,500","221,000","15,142,946,350,000","1.55","66,271,100","17,747,125","26.78",
10,034220,LG디스플레이,"39,250","750","2.0","1,798,393","70,310,480,850","38,600","39,400","38,400","14,044,266,225,000","1.44","357,815,700","121,188,797","33.87",
11,017670,SK텔레콤,"169,500","-500","-0.3","253,842","42,913,982,000","170,000","170,500","168,000","13,686,398,014,500","1.41","80,745,711","39,170,839","48.51",
12,000660,하이닉스,"23,150","950","4.3","7,868,021","180,577,400,150","22,400","23,400","22,350","13,650,132,687,150","1.40","589,638,561","146,991,719","24.93",
13,009540,현대중공업,"173,500","0","0.0","194,351","33,758,467,000","174,500","176,000","172,500","13,186,000,000,000","1.35","76,000,000","13,211,741","17.38",
14,003550,LG,"72,600","200","0.3","298,182","21,559,646,700","72,000","72,800","71,400","12,527,647,710,600","1.29","172,557,131","52,098,899","30.19",
15,005935,삼성전자우,"525,000","10,000","1.9","12,737","6,648,874,000","514,000","527,000","514,000","11,987,549,175,000","1.23","22,833,427","18,590,823","81.42",
16,053000,우리금융,"13,850","-600","-4.2","11,145,935","154,731,529,400","13,750","14,050","13,650","11,163,312,459,000","1.15","806,015,340","127,470,712","15.81",
17,096770,SK에너지,"117,500","3,500","3.1","871,123","101,200,101,000","114,500","117,500","114,000","10,864,703,770,000","1.12","92,465,564","25,083,173","27.13",
18,030200,KT,"39,100","-400","-1.0","1,101,766","43,155,697,600","39,550","39,600","39,000","10,209,471,692,800","1.05","261,111,808","122,403,577","46.88",
