순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"1,322,000","11,000","0.8","177,621","234,171,062,498","1,310,000","1,324,000","1,309,000","194,729,723,514,000","14.66","147,299,337","74,671,053","50.69",1972
2,005380,현대차,"229,500","-500","-0.2","550,203","125,836,321,880","229,500","231,000","226,500","50,553,451,930,500","3.81","220,276,479","96,960,593","44.02",
3,000660,SK하이닉스,"48,550","1,050","2.2","3,033,278","146,749,371,850","47,900","48,750","47,850","34,580,139,688,200","2.60","712,258,284","346,796,213","48.69",
4,012330,현대모비스,"284,000","2,500","0.9","145,300","41,070,080,500","283,000","284,000","281,000","27,645,657,092,000","2.08","97,343,863","46,529,508","47.80",
5,035420,NAVER,"835,000","3,000","0.4","74,129","61,710,611,000","842,000","842,000","824,000","27,523,836,965,000","2.07","32,962,679","18,382,816","55.77",
6,005490,POSCO,"304,000","2,000","0.7","81,323","24,684,265,000","305,000","305,000","301,000","26,504,797,840,000","2.00","87,186,835","46,189,577","52.98",
7,005935,삼성전자우,"1,060,000","-1,000","-0.1","31,365","33,239,975,000","1,061,000","1,062,000","1,056,000","24,203,432,620,000","1.82","22,833,427","18,566,540","81.31",
8,015760,한국전력,"37,300","-200","-0.5","1,000,622","37,358,952,600","37,800","37,850","37,100","23,945,260,072,100","1.80","641,964,077","174,890,857","27.24",
9,000270,기아차,"56,600","-100","-0.2","903,046","50,885,910,700","56,700","56,900","55,700","22,943,565,440,200","1.73","405,363,347","148,336,974","36.59",
10,055550,신한지주,"46,850","250","0.5","506,341","23,567,628,900","46,100","46,850","46,100","22,216,250,650,950","1.67","474,199,587","310,025,237","65.38",
11,032830,삼성생명,"102,000","1,500","1.5","186,577","18,993,586,000","101,000","102,500","100,500","20,400,000,000,000","1.54","200,000,000","29,334,728","14.67",
12,051910,LG화학,"296,000","2,500","0.8","156,573","46,443,833,500","297,000","298,000","293,500","19,616,245,600,000","1.48","66,271,100","22,680,320","34.22",
13,017670,SK텔레콤,"236,500","1,000","0.4","94,237","22,167,196,500","235,500","237,500","233,000","19,096,360,651,500","1.44","80,745,711","38,271,913","47.40",
14,105560,KB금융,"35,200","-250","-0.7","758,389","26,629,245,400","35,150","35,350","34,950","13,599,579,593,600","1.02","386,351,693","247,077,424","63.95",
15,009540,현대중공업,"177,000","-500","-0.3","251,790","44,450,518,500","177,000","179,000","175,500","13,452,000,000,000","1.01","76,000,000","13,040,261","17.16",
16,033780,KT&G,"89,500","1,500","1.7","240,522","21,468,510,400","88,500","89,900","88,000","12,287,678,481,500","0.92","137,292,497","82,868,596","60.36",
17,000810,삼성화재,"257,500","-4,000","-1.5","56,629","14,620,022,500","262,000","263,000","256,500","12,199,020,527,500","0.92","47,374,837","26,153,364","55.21",
18,066570,LG전자,"74,300","-100","-0.1","440,739","32,666,786,400","74,400","74,900","73,600","12,159,032,580,200","0.92","163,647,814","31,612,793","19.32",
19,000830,삼성물산,"74,600","900","1.2","474,545","35,327,991,100","74,200","74,700","73,900","11,653,845,194,400","0.88","156,217,764","38,547,437","24.68",
20,034220,LG디스플레이,"31,800","400","1.3","1,124,484","35,848,980,050","31,600","32,000","31,600","11,378,539,260,000","0.86","357,815,700","109,053,976","30.48",
21,086790,하나금융지주,"37,500","200","0.5","797,476","29,728,790,850","37,400","37,700","36,950","10,871,027,325,000","0.82","289,894,062","191,300,571","65.99",
22,003550,LG,"62,500","0","0.0","279,254","17,365,352,900","62,800","63,100","61,700","10,784,820,687,500","0.81","172,557,131","44,637,361","25.87",
