순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"1,268,000","-13,000","-1.0","197,407","251,446,307,000","1,276,000","1,285,000","1,266,000","186,775,559,316,000","12.45","147,299,337","76,307,627","51.80",2054
2,000660,SK하이닉스,"42,300","-300","-0.7","2,598,797","110,058,127,200","42,650","42,800","41,950","30,794,500,039,500","2.05","728,002,365","379,682,576","52.15",
3,005380,현대차,"136,000","1,500","1.1","635,953","86,456,555,500","135,000","137,000","134,500","29,957,601,144,000","2.00","220,276,479","97,939,814","44.46",
4,015760,한국전력,"45,800","1,000","2.2","902,335","41,260,750,150","45,000","46,150","44,950","29,401,954,726,600","1.96","641,964,077","200,697,808","31.26",
5,090430,아모레퍼시픽,"418,000","-500","-0.1","192,839","80,702,209,194","418,000","424,000","417,000","24,435,648,820,000","1.63","58,458,490","17,397,373","29.76",
6,028260,제일모직,"177,500","3,000","1.7","415,062","74,109,343,500","179,000","182,000","175,000","23,962,500,000,000","1.60","135,000,000","4,545,038","3.37",
7,005935,삼성전자우,"993,000","5,000","0.5","35,303","34,966,540,000","990,000","994,000","986,000","22,673,593,011,000","1.51","22,833,427","18,419,482","80.67",
8,032830,삼성생명,"107,500","-500","-0.5","195,930","21,012,156,880","107,500","108,000","106,000","21,500,000,000,000","1.43","200,000,000","35,801,208","17.90",
9,035420,NAVER,"634,000","-17,000","-2.6","117,991","74,658,889,000","644,000","649,000","627,000","20,898,338,486,000","1.39","32,962,679","18,563,224","56.32",
10,012330,현대모비스,"212,000","2,000","1.0","305,240","64,383,187,184","209,500","213,500","209,000","20,636,898,956,000","1.38","97,343,863","49,389,189","50.74",
11,017670,SK텔레콤,"250,000","3,000","1.2","139,115","34,675,504,000","247,000","252,500","246,500","20,186,427,750,000","1.35","80,745,711","36,073,198","44.68",
12,018260,삼성에스디에스,"259,500","10,000","4.0","136,266","34,939,713,270","249,500","260,000","249,000","20,079,539,100,000","1.34","77,377,800","4,837,235","6.25",
13,055550,신한지주,"41,550","-200","-0.5","847,365","35,244,047,650","41,550","41,800","41,150","19,702,992,839,850","1.31","474,199,587","315,420,247","66.52",
14,005490,POSCO,"224,000","0","0.0","226,396","50,319,570,000","220,500","224,000","220,500","19,529,851,040,000","1.30","87,186,835","47,337,956","54.29",
