순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"298,500","-11,000","-3.6","815,688","242,202,248,000","299,500","300,000","294,000","45,586,161,213,000","15.13","152,717,458","78,446,469","51.37",1707
2,017670,SK텔레콤,"237,000","2,000","0.8","166,138","39,055,691,000","234,500","237,000","230,500","21,129,182,790,000","7.01","89,152,670","34,963,835","39.22",
3,030200,KT,"54,800","500","0.9","987,010","53,494,971,000","54,100","54,800","53,100","17,108,541,313,200","5.68","312,199,659","122,268,346","39.16",
4,060000,국민은행,"44,750","-1,850","-4.0","1,056,767","47,384,994,250","45,600","45,600","43,900","14,216,064,366,000","4.72","317,677,416","221,586,677","69.75",
5,015760,한국전력,"20,600","-200","-1.0","1,347,740","27,615,625,500","20,600","20,750","20,300","13,186,078,045,600","4.38","640,100,876","161,171,123","25.18",
6,005490,POSCO,"106,500","500","0.5","205,073","21,523,544,500","102,500","107,000","101,000","9,967,280,152,500","3.31","93,589,485","54,885,520","58.64",
7,005380,현대차,"27,900","-1,450","-4.9","1,109,779","31,222,479,100","28,500","28,550","27,900","6,112,574,785,800","2.03","219,088,702","108,006,183","49.30",
8,032390,KTF,"30,300","-300","-1.0","223,943","6,686,805,250","29,600","30,350","29,550","5,576,958,702,900","1.85","184,058,043","34,142,249","18.55",
9,066570,LG전자,"33,350","-3,050","-8.4","2,088,284","71,058,461,900","34,900","35,200","33,350","4,655,868,871,050","1.54","139,606,263","25,952,178","18.59",
10,055550,신한지주,"13,850","-350","-2.5","861,060","11,934,242,500","13,900","14,000","13,700","4,049,187,149,550","1.34","292,360,083","141,679,383","48.46",
11,006400,삼성SDI,"82,200","-4,200","-4.9","313,674","25,788,996,800","83,600","84,000","81,300","3,821,194,985,400","1.27","46,486,557","18,724,299","40.28",
12,000810,삼성화재,"71,400","1,900","2.7","204,142","14,228,350,800","67,600","71,400","67,100","3,541,785,361,800","1.18","49,604,837","26,546,417","53.52",
