순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"623,000","10,000","1.6","586,773","365,933,103,000","617,000","629,000","612,000","91,767,486,951,000","9.62","147,299,337","67,229,824","45.64",1954
2,005490,POSCO,"476,000","2,500","0.5","249,579","117,892,947,500","473,000","476,000","464,000","41,500,933,460,000","4.35","87,186,835","40,933,347","46.95",
3,009540,현대중공업,"370,500","-2,500","-0.7","269,211","99,293,707,000","378,000","378,000","364,500","28,158,000,000,000","2.95","76,000,000","11,544,501","15.19",
4,055550,신한지주,"52,300","-200","-0.4","1,078,581","55,978,353,700","52,500","52,500","51,300","20,721,238,400,100","2.17","396,199,587","224,489,699","56.66",
5,015760,한국전력,"30,050","250","0.8","1,693,025","50,254,265,050","29,850","30,050","29,350","19,279,109,745,600","2.02","641,567,712","183,401,989","28.59",
6,060000,국민은행,"55,400","-500","-0.9","2,478,419","136,726,100,700","55,900","56,200","54,600","18,635,403,026,400","1.95","336,379,116","264,094,204","78.51",
7,066570,LG전자,"127,000","-3,000","-2.3","1,574,174","200,283,811,500","129,500","130,500","125,000","18,370,272,378,000","1.92","144,647,814","39,289,607","27.16",
8,005380,현대차,"78,900","400","0.5","1,489,564","117,238,421,300","78,700","79,800","77,500","17,348,043,451,200","1.82","219,873,808","64,703,431","29.43",
9,034220,LG디스플레이,"44,450","-50","-0.1","2,602,831","116,141,873,550","44,700","45,250","43,900","15,904,907,865,000","1.67","357,815,700","100,845,879","28.18",
10,017670,SK텔레콤,"186,500","-500","-0.3","290,343","53,781,666,000","186,000","189,500","183,000","15,142,627,101,500","1.59","81,193,711","39,126,271","48.19",
11,053000,우리금융,"17,250","100","0.6","1,278,611","21,799,229,250","17,200","17,250","16,850","13,903,764,615,000","1.46","806,015,340","95,821,168","11.89",
12,034020,두산중공업,"132,500","-3,000","-2.2","276,585","36,895,596,500","134,500","135,500","131,000","13,878,434,250,000","1.45","104,742,900","8,238,801","7.87",
13,030200,KT,"46,950","-850","-1.8","1,028,465","48,164,565,400","47,600","47,650","46,450","12,920,752,680,000","1.35","275,202,400","127,707,842","46.41",
14,003550,LG,"74,700","100","0.1","895,195","66,572,583,400","74,400","75,500","73,100","12,890,017,685,700","1.35","172,557,131","33,340,723","19.32",
15,000660,하이닉스,"27,850","1,550","5.9","12,337,043","341,595,143,300","26,500","28,000","26,500","12,790,776,109,800","1.34","459,273,828","110,166,340","23.99",
16,004170,신세계,"624,000","8,000","1.3","58,398","36,363,816,375","622,000","628,000","612,000","11,768,952,000,000","1.23","18,860,500","7,813,848","41.43",
17,035420,NHN,"231,100","9,100","4.1","284,838","65,749,981,354","227,900","235,000","226,000","11,057,765,008,900","1.16","47,848,399","23,361,606","48.82",
18,033780,KT&G,"77,600","800","1.0","278,406","21,542,824,800","77,500","77,900","76,600","10,921,617,767,200","1.14","140,742,497","73,593,209","52.29",
19,000830,삼성물산,"69,400","-500","-0.7","831,114","57,702,791,900","69,900","70,300","68,700","10,841,512,821,600","1.14","156,217,764","24,557,820","15.72",
20,005935,삼성전자(1우B),"446,000","0","0.0","50,286","22,530,047,500","446,000","451,500","445,500","10,183,708,442,000","1.07","22,833,427","18,287,559","80.09",
21,000810,삼성화재,"204,500","-6,500","-3.1","173,305","35,308,461,500","212,000","212,000","200,500","9,688,154,166,500","1.02","47,374,837","26,291,659","55.50",
22,000720,현대건설,"86,000","1,300","1.5","394,364","33,615,411,500","86,000","86,000","84,500","9,535,873,844,000","1.00","110,882,254","12,466,623","11.24",
23,096770,SK에너지,"102,000","2,800","2.8","756,753","76,485,372,000","100,500","102,500","99,500","9,431,487,528,000","0.99","92,465,564","37,852,595","40.94",
24,023530,롯데쇼핑,"300,000","-8,000","-2.6","69,265","20,896,168,000","308,000","308,500","298,500","8,713,012,200,000","0.91","29,043,374","6,051,785","20.84",
25,086790,하나금융지주,"40,500","-600","-1.5","795,665","31,884,128,250","41,100","41,100","39,450","8,579,989,516,500","0.90","211,851,593","157,535,962","74.36",
26,004940,외환은행,"13,200","100","0.8","1,350,888","17,712,453,000","13,300","13,300","12,950","8,512,770,103,200","0.89","644,906,826","520,689,248","80.74",
27,010060,동양제철화학,"377,500","-3,500","-0.9","242,176","92,550,590,500","386,000","393,000","375,000","7,535,554,585,000","0.79","19,961,734","2,943,039","14.74",
28,006360,GS건설,"145,000","2,000","1.4","359,871","52,384,823,500","145,000","148,500","143,000","7,395,000,000,000","0.77","51,000,000","18,251,722","35.79",
29,010140,삼성중공업,"31,550","350","1.1","1,575,806","49,726,597,900","31,450","31,850","31,100","7,284,118,428,300","0.76","230,875,386","61,554,245","26.66",
30,042660,대우조선해양,"37,750","1,000","2.7","2,226,113","82,546,406,400","36,750","38,000","36,400","7,225,001,114,500","0.76","191,390,758","47,595,507","24.87",
31,010950,S-Oil,"63,100","200","0.3","199,632","12,544,987,000","63,000","63,200","62,200","7,103,974,175,200","0.74","112,582,792","53,401,159","47.43",
32,047040,대우건설,"21,600","-150","-0.7","595,322","12,905,095,450","21,700","21,850","21,400","7,035,526,857,600","0.74","325,718,836","37,487,395","11.51",
33,012330,현대모비스,"77,200","200","0.3","653,723","50,466,860,500","76,400","77,900","76,400","6,753,336,880,400","0.71","87,478,457","36,203,948","41.39",
34,003600,SK,"142,000","500","0.4","182,843","25,733,040,500","142,000","142,500","139,000","6,668,577,304,000","0.70","46,961,812","12,113,008","25.79",
35,011200,현대상선,"45,000","1,000","2.3","212,899","9,473,890,750","44,800","45,000","43,800","5,988,295,305,000","0.63","133,073,229","18,993,958","14.27",
36,024110,기업은행,"14,600","-150","-1.0","1,540,060","22,339,486,850","14,750","14,750","14,350","5,915,213,622,800","0.62","405,151,618","81,724,252","20.17",
37,004020,현대제철,"69,300","400","0.6","695,058","48,501,521,700","69,300","70,300","69,100","5,883,425,786,700","0.62","84,897,919","18,970,250","22.34",
38,036460,한국가스공사,"73,500","-1,000","-1.3","288,712","20,987,961,800","75,400","75,400","71,700","5,680,411,485,000","0.60","77,284,510","6,622,328","8.57",
39,032390,KTF,"28,950","-50","-0.2","227,356","6,530,619,700","29,300","29,300","28,150","5,579,304,534,450","0.58","192,722,091","56,554,865","29.35",
40,051910,LG화학,"74,000","-200","-0.3","504,300","37,386,084,600","74,800","75,400","73,400","5,567,668,980,000","0.58","75,238,770","19,951,152","26.52",
41,037620,미래에셋증권,"139,000","-3,000","-2.1","348,841","48,840,803,000","141,000","142,500","138,000","5,547,920,066,000","0.58","39,913,094","2,806,916","7.03",
42,042670,두산인프라코어,"32,950","-550","-1.6","976,300","32,044,835,550","33,350","33,400","32,350","5,540,785,802,800","0.58","168,157,384","15,795,249","9.39",
43,029780,삼성카드,"46,800","-500","-1.1","132,069","6,150,467,400","47,550","47,550","46,150","5,523,242,540,400","0.58","118,018,003","8,380,079","7.10",
