순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"815,000","3,000","0.4","479,813","392,123,925,680","807,000","825,000","806,000","120,048,959,655,000","12.60","147,299,337","69,851,058","47.42",1947
2,005490,POSCO,"487,000","6,000","1.2","376,257","184,412,247,500","484,500","494,500","484,000","42,459,988,645,000","4.46","87,186,835","42,295,314","48.51",
3,005380,현대차,"111,500","1,500","1.4","1,590,949","177,226,405,690","110,000","114,000","109,000","24,560,827,408,500","2.58","220,276,479","73,107,141","33.19",
4,105560,KB금융,"60,500","700","1.2","1,963,026","118,779,338,300","60,200","61,200","59,200","23,374,277,426,500","2.45","386,351,693","229,303,680","59.35",
5,015760,한국전력,"35,800","400","1.1","2,109,064","75,442,178,800","35,350","36,000","35,200","22,968,124,089,600","2.41","641,567,712","163,406,780","25.47",
6,055550,신한지주,"47,000","200","0.4","2,221,480","104,662,394,900","46,800","47,500","46,250","22,287,380,589,000","2.34","474,199,587","266,945,937","56.29",
7,066570,LG전자,"125,500","-4,500","-3.5","1,083,045","137,636,687,000","130,500","131,000","124,000","18,153,300,657,000","1.91","144,647,814","40,340,848","27.89",
8,012330,현대모비스,"165,500","-4,500","-2.6","887,942","149,326,192,000","170,000","174,000","164,000","16,110,409,326,500","1.69","97,343,863","33,977,274","34.90",
9,017670,SK텔레콤,"182,500","3,000","1.7","621,942","113,025,124,500","181,500","183,000","180,000","14,736,092,257,500","1.55","80,745,711","37,887,553","46.92",
10,051910,LG화학,"219,000","-13,500","-5.8","1,691,252","382,928,950,500","232,000","239,000","217,500","14,513,370,900,000","1.52","66,271,100","17,303,591","26.11",
11,009540,현대중공업,"180,000","-19,000","-9.6","2,405,343","439,031,672,000","199,000","201,500","171,000","13,680,000,000,000","1.44","76,000,000","14,030,681","18.46",
12,003550,LG,"79,000","-1,000","-1.2","660,820","52,478,913,800","80,200","81,500","76,700","13,632,013,349,000","1.43","172,557,131","49,684,379","28.79",
13,053000,우리금융,"15,950","250","1.6","4,311,508","68,575,934,950","15,750","16,150","15,600","12,855,944,673,000","1.35","806,015,340","90,575,512","11.24",
14,034220,LG디스플레이,"33,900","-50","-0.2","3,700,773","127,047,929,700","33,950","34,900","33,800","12,129,952,230,000","1.27","357,815,700","107,559,556","30.06",
15,000660,하이닉스,"19,800","250","1.3","9,964,191","198,551,442,300","19,400","20,200","19,400","11,674,591,236,000","1.23","589,625,820","133,942,514","22.72",
16,096770,SK에너지,"126,000","-5,500","-4.2","1,800,085","230,031,149,500","131,000","135,000","125,000","11,650,661,064,000","1.22","92,465,564","25,960,480","28.08",
17,000810,삼성화재,"241,000","-3,500","-1.4","181,008","44,036,990,000","242,000","246,000","236,000","11,417,335,717,000","1.20","47,374,837","25,092,872","52.97",
18,005935,삼성전자우,"493,000","-2,000","-0.4","44,024","21,841,252,000","488,000","499,000","488,000","11,256,879,511,000","1.18","22,833,427","18,415,973","80.65",
19,004170,신세계,"595,000","6,000","1.0","154,217","92,408,512,000","590,000","607,000","583,000","11,221,997,500,000","1.18","18,860,500","9,399,272","49.84",
20,030200,KT,"40,450","200","0.5","1,281,823","51,893,617,750","40,250","40,650","40,250","10,561,972,633,600","1.11","261,111,808","114,961,998","44.03",
21,033780,KT&G,"71,400","500","0.7","1,128,815","80,711,892,732","71,800","72,400","70,800","9,909,784,285,800","1.04","138,792,497","72,788,631","52.44",
22,023530,롯데쇼핑,"317,500","3,500","1.1","98,853","31,256,293,000","314,000","320,000","311,500","9,221,271,245,000","0.97","29,043,374","5,555,680","19.13",
23,004940,외환은행,"13,850","50","0.4","3,290,213","45,450,566,150","13,800","14,050","13,500","8,931,959,540,100","0.94","644,906,826","453,699,811","70.35",
24,086790,하나금융지주,"40,600","650","1.6","1,295,751","52,928,253,000","39,650","41,750","39,650","8,601,174,675,800","0.90","211,851,593","138,596,187","65.42",
25,000830,삼성물산,"54,400","-900","-1.6","1,365,808","75,398,992,400","55,400","56,400","53,700","8,498,246,361,600","0.89","156,217,764","27,370,111","17.52",
26,035420,NHN,"173,500","3,500","2.1","454,445","78,106,639,000","170,500","175,000","169,000","8,350,156,644,000","0.88","48,127,704","24,838,592","51.61",
27,024110,기업은행,"14,450","50","0.4","2,086,182","30,287,580,750","14,300","14,850","14,300","7,855,258,468,350","0.82","543,616,503","65,427,661","12.04",
28,009150,삼성전기,"101,500","-6,000","-5.6","1,865,557","194,009,305,500","106,000","108,500","101,000","7,581,410,144,000","0.80","74,693,696","11,795,726","15.79",
29,000720,현대건설,"64,000","-1,600","-2.4","1,387,169","89,184,153,800","65,700","66,500","62,700","7,107,645,696,000","0.75","111,056,964","24,321,435","21.90",
30,000270,기아차,"18,600","-350","-1.8","7,022,756","132,958,435,750","18,850","19,150","18,600","7,088,210,220,600","0.74","381,086,571","66,324,867","17.40",
31,034020,두산중공업,"67,400","-1,100","-1.6","730,712","49,437,308,700","67,000","69,000","66,400","7,079,830,800,000","0.74","105,042,000","13,653,833","13.00",
32,010950,S-Oil,"62,300","700","1.1","263,096","16,402,269,600","61,900","63,000","61,500","7,013,907,941,600","0.74","112,582,792","53,657,866","47.66",
33,006400,삼성SDI,"149,000","-8,500","-5.4","1,117,470","170,267,996,000","156,000","159,500","147,000","6,788,192,809,000","0.71","45,558,341","7,204,755","15.81",
34,029780,삼성카드,"52,800","0","0.0","259,536","13,641,225,500","52,800","53,400","51,900","6,492,229,444,800","0.68","122,958,891","12,017,643","9.77",
35,004020,현대제철,"76,200","-3,000","-3.8","1,396,830","109,361,797,100","79,000","80,900","75,600","6,469,221,427,800","0.68","84,897,919","12,300,814","14.49",
36,010140,삼성중공업,"25,600","-1,700","-6.2","7,445,439","191,645,840,700","27,300","27,650","24,050","5,910,409,881,600","0.62","230,875,386","46,100,013","19.97",
37,010060,OCI,"264,000","-8,500","-3.1","132,933","35,497,787,000","271,500","276,500","263,000","5,520,134,664,000","0.58","20,909,601","4,384,935","20.97",
38,003600,SK,"112,500","0","0.0","380,587","43,226,551,000","113,000","115,500","111,500","5,283,203,850,000","0.55","46,961,812","15,255,000","32.48",
39,012450,삼성테크윈,"93,400","-4,700","-4.8","716,231","68,268,803,600","96,300","97,900","93,400","4,962,342,000,000","0.52","53,130,000","8,343,924","15.70",
40,090430,아모레퍼시픽,"844,000","2,000","0.2","36,312","30,640,372,078","827,000","855,000","827,000","4,933,896,556,000","0.52","5,845,849","2,073,974","35.48",
41,006360,GS건설,"92,200","-1,500","-1.6","299,384","27,854,813,400","94,600","94,800","90,900","4,702,200,000,000","0.49","51,000,000","24,672,125","48.38",
42,016360,삼성증권,"68,700","-1,400","-2.0","489,490","33,954,797,400","70,100","70,400","68,500","4,591,575,835,500","0.48","66,835,165","14,023,661","20.98",
43,047040,대우건설,"14,000","-450","-3.1","3,277,133","46,192,909,650","14,150","14,600","13,800","4,560,063,704,000","0.48","325,718,836","25,904,128","7.95",
44,086280,글로비스,"111,500","-7,000","-5.9","414,958","46,890,498,000","118,500","120,500","108,000","4,181,250,000,000","0.44","37,500,000","7,796,225","20.79",
45,028050,삼성엔지니어링,"104,000","500","0.5","331,972","34,949,052,500","103,500","107,500","102,500","4,160,000,000,000","0.44","40,000,000","12,000,095","30.00",
46,051900,LG생활건강,"264,000","7,000","2.7","46,117","12,116,807,500","257,000","265,500","256,000","4,123,204,008,000","0.43","15,618,197","7,352,050","47.07",
47,036460,한국가스공사,"53,300","-6,300","-10.6","2,677,783","143,386,671,700","53,500","55,400","52,200","4,119,264,383,000","0.43","77,284,510","5,042,373","6.52",
48,006800,대우증권,"21,550","-1,000","-4.4","3,191,603","70,035,931,900","22,600","22,650","21,400","4,096,674,201,050","0.43","190,100,891","25,873,937","13.61",
49,002380,KCC,"354,000","-11,000","-3.0","101,082","36,813,981,000","367,500","377,500","346,000","3,724,080,000,000","0.39","10,520,000","1,648,831","15.67",
50,035250,강원랜드,"17,400","-100","-0.6","498,158","8,704,362,100","17,350","17,650","17,100","3,722,564,700,000","0.39","213,940,500","57,422,575","26.84",
51,011200,현대상선,"27,850","50","0.2","212,533","5,970,586,700","27,850","28,500","27,500","3,706,089,427,650","0.39","133,073,229","20,496,354","15.40",
52,036570,엔씨소프트,"169,000","3,000","1.8","638,053","108,779,264,000","167,000","173,000","166,500","3,665,831,728,000","0.38","21,691,312","3,855,027","17.77",
53,000240,한국타이어,"23,450","450","2.0","1,271,873","29,839,287,450","23,300","23,650","23,000","3,568,853,835,050","0.37","152,189,929","61,224,083","40.23",
54,003490,대한항공,"48,000","-100","-0.2","644,776","31,206,622,350","48,250","49,050","47,950","3,454,638,288,000","0.36","71,971,631","15,896,727","22.09",
55,047050,대우인터내셔널,"35,200","-300","-0.8","1,007,104","35,652,139,600","36,250","36,800","34,150","3,443,913,052,800","0.36","97,838,439","6,633,196","6.78",
56,006260,LS,"103,000","-5,000","-4.6","326,363","34,139,405,500","107,000","108,500","101,500","3,316,600,000,000","0.35","32,200,000","4,418,785","13.72",
57,010130,고려아연,"175,500","-8,500","-4.6","141,353","25,482,784,500","184,000","188,000","172,000","3,311,685,000,000","0.35","18,870,000","3,167,560","16.79",
58,042660,대우조선해양,"17,200","-1,800","-9.5","6,812,777","120,963,416,700","19,200","19,600","16,550","3,291,921,037,600","0.35","191,390,758","31,627,216","16.52",
59,000880,한화,"43,050","-1,150","-2.6","423,846","18,445,041,500","44,200","44,650","42,750","3,226,973,541,750","0.34","74,958,735","11,573,556","15.44",
60,012630,현대산업,"42,800","350","0.8","345,865","14,620,711,000","42,000","43,050","41,350","3,226,442,904,000","0.34","75,384,180","47,587,184","63.13",
61,001740,SK네트웍스,"12,700","-650","-4.9","1,697,057","22,138,148,700","13,250","13,550","12,700","3,086,059,334,600","0.32","242,996,798","9,540,988","3.93",
62,078930,GS,"32,650","-300","-0.9","546,168","17,924,770,600","32,850","33,400","32,350","3,033,687,091,700","0.32","92,915,378","16,909,640","18.20",
63,037620,미래에셋증권,"70,400","-1,100","-1.5","152,402","10,837,275,200","71,500","72,200","70,000","2,949,212,851,200","0.31","41,892,228","7,477,757","17.85",
64,021240,웅진코웨이,"37,850","1,450","4.0","527,224","19,948,511,050","36,400","38,500","36,300","2,919,173,528,600","0.31","77,124,796","34,933,004","45.29",
65,042670,두산인프라코어,"17,050","-600","-3.4","1,808,888","31,401,138,700","17,500","18,000","16,750","2,869,663,062,200","0.30","168,308,684","23,607,125","14.03",
66,011170,호남석유,"88,700","-1,700","-1.9","254,689","22,888,325,400","90,500","91,300","88,500","2,825,982,000,000","0.30","31,860,000","7,284,714","22.86",
67,010120,LS산전,"93,000","-6,400","-6.4","501,594","47,881,970,900","98,900","100,500","91,700","2,790,000,000,000","0.29","30,000,000","2,557,018","8.52",
68,003450,현대증권,"16,400","-600","-3.5","1,852,920","30,951,749,900","16,900","17,100","16,400","2,788,000,000,000","0.29","170,000,000","21,827,450","12.84",
69,005830,동부화재,"36,150","-700","-1.9","291,762","10,660,849,550","36,500","37,000","36,150","2,559,420,000,000","0.27","70,800,000","18,640,404","26.33",
70,001300,제일모직,"51,100","-1,800","-3.4","572,343","29,595,142,300","53,000","53,000","51,000","2,555,000,000,000","0.27","50,000,000","11,938,298","23.88",
71,000210,대림산업,"72,300","-1,000","-1.4","335,253","24,612,137,400","73,300","74,700","72,200","2,516,040,000,000","0.26","34,800,000","15,201,333","43.68",
72,097950,CJ제일제당,"207,500","2,000","1.0","91,300","19,019,676,000","207,000","211,500","203,000","2,498,329,880,000","0.26","12,040,144","2,840,004","23.59",
73,069960,현대백화점,"110,000","-3,000","-2.6","143,313","15,801,795,000","112,000","112,000","109,000","2,498,069,420,000","0.26","22,709,722","9,851,870","43.38",
74,010620,현대미포조선,"124,500","-8,500","-6.4","167,902","21,323,730,500","132,000","134,500","120,000","2,490,000,000,000","0.26","20,000,000","5,713,797","28.57",
75,005280,부산은행,"13,100","500","4.0","2,434,015","31,670,288,650","12,800","13,200","12,750","2,445,555,815,000","0.26","186,683,650","92,624,366","49.62",
76,004800,효성,"67,700","-2,000","-2.9","2,033,940","140,350,828,400","69,200","70,800","67,500","2,377,451,703,500","0.25","35,117,455","4,589,307","13.07",
77,032640,LG텔레콤,"8,510","-230","-2.6","1,974,909","17,142,637,160","8,700","8,820","8,510","2,359,639,439,300","0.25","277,278,430","110,095,021","39.71",
78,028670,STX팬오션,"10,850","-650","-5.6","4,021,402","44,809,644,350","11,500","11,650","10,800","2,233,557,629,100","0.23","205,857,846","15,823,013","7.69",
